,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ","Pinal County, AZ"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162,32.8162
Long,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845,-111.2845
time,1579676400,1579762800,1579849200,1579935600,1580022000,1580108400,1580194800,1580281200,1580367600,1580454000,1580540400,1580626800,1580713200,1580799600,1580886000,1580972400,1581058800,1581145200,1581231600,1581318000,1581404400,1581490800,1581577200,1581663600,1581750000,1581836400,1581922800,1582009200,1582095600,1582182000,1582268400,1582354800,1582441200,1582527600,1582614000,1582700400,1582786800,1582873200,1582959600,1583046000,1583132400,1583218800,1583305200,1583391600,1583478000,1583564400,1583650800,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Rain in the evening and overnight.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Possible drizzle in the morning.,Light rain throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.
icon,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,clear-day
sunriseTime,1579703220,1579789560,1579875960,1579962300,1580048700,1580135040,1580221440,1580307780,1580394180,1580480520,1580566860,1580653260,1580739600,1580825940,1580912340,1580998680,1581085020,1581171360,1581257700,1581344100,1581430440,1581516780,1581603120,1581689460,1581775800,1581862140,1581948480,1582034820,1582121160,1582207500,1582293840,1582380180,1582466520,1582552800,1582639140,1582725480,1582811820,1582898160,1582984500,1583070780,1583157120,1583243460,1583329800,1583416080,1583502420,1583588760,1583675100,1583761380,1583847720,1583934060,1584020400,1584106680,1584193020,1584279360,1584365640
sunsetTime,1579740540,1579827000,1579913460,1579999920,1580086380,1580172840,1580259300,1580345760,1580432220,1580518620,1580605080,1580691540,1580778000,1580864460,1580950920,1581037380,1581123840,1581210300,1581296760,1581383220,1581469680,1581556140,1581642600,1581729060,1581815460,1581901920,1581988380,1582074840,1582161300,1582247760,1582334220,1582420680,1582507080,1582593540,1582680000,1582766460,1582852920,1582939320,1583025780,1583112240,1583198700,1583285160,1583371560,1583458020,1583544480,1583630940,1583717340,1583803800,1583890260,1583976720,1584063120,1584149580,1584236040,1584322500,1584408900
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
