,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809,41.6809
Long,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118,-71.5118
Province/State,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island
apparentTemperatureHigh,34.24,41.21,45.1,39.41,41.64,38.84,35.39,35.39,36.4,39.76,40.89,37.5,43.29,47.91,38.55,34.69,54.27,29.11,32.13,39.32,43.56,41.7,40.53,22.53,20.77,36.93,44.46,36.52,36.7,29.04,31.86,42.32,52.79,56.44,53.46,51.38,43.64,29.3,29.1,30.01,53.21,58.2,52.48,52,42.95,38.28,55.2,68.68,65.28,57.68,45.53,59.06,53.96,50.04,37.33
apparentTemperatureHighTime,1579721040,1579806540,1579893360,1579996800,1580059260,1580152680,1580229960,1580326260,1580413500,1580497140,1580584380,1580672700,1580760480,1580847720,1580932860,1581020040,1581100680,1581189660,1581273120,1581353760,1581444240,1581532080,1581623880,1581681600,1581795660,1581882240,1581966300,1582070400,1582130640,1582225080,1582315080,1582398780,1582486020,1582568640,1582655580,1582745820,1582807380,1582918680,1583004540,1583107200,1583177400,1583255820,1583350680,1583436780,1583510580,1583611200,1583695980,1583778720,1583865840,1583951520,1584032100,1584130800,1584214140,1584302160,1584382800
apparentTemperatureLow,14.22,23.87,27.42,33.61,27.01,27.16,21.07,11.82,18.61,31.26,28.34,25.02,29.31,31.84,27.79,28.94,15.53,15.11,30.49,37.89,26.22,30.13,21.26,3.63,14.38,24.01,21.78,31.83,17.15,5.46,17.71,21.36,26.9,36.87,38.68,36.12,16.86,17.08,9.48,22.91,40.45,36.82,28.32,30.57,18.64,22.49,36.65,42.64,40.16,29.98,36.34,31.77,33,18.12,27.86
apparentTemperatureLowTime,1579777620,1579867020,1579949520,1580040420,1580121480,1580208540,1580295120,1580385180,1580463660,1580558040,1580644200,1580721660,1580807040,1580900160,1580983740,1581068760,1581149640,1581249300,1581292800,1581425700,1581507900,1581574560,1581685200,1581746400,1581815400,1581939420,1582012800,1582110300,1582192380,1582286100,1582351080,1582451760,1582538700,1582613520,1582714620,1582786200,1582883100,1582973880,1583056860,1583150280,1583194500,1583321100,1583403600,1583495820,1583576460,1583661540,1583727420,1583837820,1583925840,1584010680,1584078300,1584183120,1584269700,1584355800,1584405240
apparentTemperatureMax,34.24,41.21,45.1,44.65,42.93,38.84,35.39,35.39,36.4,39.76,40.89,37.5,43.29,47.91,38.55,34.69,54.27,29.11,32.29,40.7,43.56,41.7,40.53,29.01,20.77,36.93,44.46,36.53,36.7,29.04,31.86,42.32,52.79,56.44,53.46,51.38,43.64,30.26,29.1,30.08,53.21,58.2,52.48,52,42.95,38.28,55.2,68.68,65.28,57.68,45.53,59.06,53.96,50.04,37.33
apparentTemperatureMaxTime,1579721040,1579806540,1579893360,1580008020,1580014800,1580152680,1580229960,1580326260,1580413500,1580497140,1580584380,1580672700,1580760480,1580847720,1580932860,1581020040,1581100680,1581189660,1581303660,1581393600,1581444240,1581532080,1581623880,1581656400,1581795660,1581882240,1581966300,1582070760,1582130640,1582225080,1582315080,1582398780,1582486020,1582568640,1582655580,1582745820,1582807380,1582945800,1583004540,1583107680,1583177400,1583255820,1583350680,1583436780,1583510580,1583611200,1583695980,1583778720,1583865840,1583951520,1584032100,1584130800,1584214140,1584302160,1584382800
