,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533,33.9533
Long,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961,-117.3961
Province/State,"Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA","Riverside County, CA"
apparentTemperatureHigh,65.08,78.09,76.76,77.61,60.08,75.17,76.17,71.04,77.1,81.59,85.66,76.92,59.2,57.91,62.6,66.56,71.22,73.63,58.4,70.14,70.83,68.25,73.76,73.02,71.87,73.26,76.56,77.72,73.63,82.2,83.66,61.02,64.56,78.06,81.74,80.86,84.19,86.86,74.52,59.6,68.28,81.13,78.25,84.42,79.29,66.88,66.39,75.7,66.96,74.38,61.32,56.51,61.42,61.76,62.28
apparentTemperatureHighTime,1579736580,1579816200,1579905780,1579991640,1580073480,1580167440,1580246640,1580340720,1580424120,1580511360,1580599800,1580677920,1580768400,1580856900,1580942760,1581029580,1581116580,1581199380,1581278580,1581377400,1581463560,1581547440,1581635100,1581721860,1581804660,1581893280,1581980400,1582065900,1582153380,1582239420,1582321920,1582397580,1582501680,1582585500,1582673100,1582760580,1582838040,1582925820,1583015640,1583089260,1583195640,1583275800,1583360700,1583449200,1583528880,1583617740,1583709180,1583794500,1583877480,1583967900,1584035880,1584129060,1584220020,1584316080,1584393120
apparentTemperatureLow,48.36,48.1,43.76,48.13,45.61,48.08,45.93,50.07,52.87,52.46,51.3,43.1,37.44,35.72,37.08,40.28,41.79,47.69,52.56,58.39,39.11,40.41,43.63,41.64,45.52,44.97,47.03,50.94,48.04,53.25,55.21,52.7,44.12,54.32,53.91,53.76,59.27,52.42,52.17,45.49,59.56,48.58,49.08,53.87,53.35,50.91,46.37,55.22,54.2,54.1,52.6,53.67,52.66,51.71,47.11
apparentTemperatureLowTime,1579781880,1579875960,1579964040,1580047020,1580135700,1580223180,1580308140,1580394000,1580478180,1580568480,1580655000,1580742540,1580824680,1580907000,1581000600,1581086700,1581172980,1581238620,1581314220,1581432540,1581518580,1581604200,1581691800,1581777420,1581863940,1581948540,1582036980,1582121460,1582205340,1582295940,1582380960,1582464840,1582553040,1582624320,1582727760,1582805640,1582899000,1582986000,1583053920,1583150340,1583246220,1583332200,1583414280,1583502720,1583589540,1583676060,1583762160,1583847420,1583934900,1584018000,1584087480,1584193920,1584280740,1584346200,1584453660
apparentTemperatureMax,65.08,78.09,76.76,77.61,60.08,75.17,76.17,71.04,77.1,81.59,85.66,76.92,59.2,57.91,62.6,66.56,71.22,73.63,58.4,70.14,70.83,68.25,73.76,73.02,71.87,73.26,76.56,77.72,73.63,82.2,83.66,61.02,64.56,78.06,81.74,80.86,84.19,86.86,74.52,59.6,68.28,81.13,78.25,84.42,79.29,66.88,66.39,75.7,66.96,74.38,61.32,56.51,61.42,61.76,62.28
apparentTemperatureMaxTime,1579736580,1579816200,1579905780,1579991640,1580073480,1580167440,1580246640,1580340720,1580424120,1580511360,1580599800,1580677920,1580768400,1580856900,1580942760,1581029580,1581116580,1581199380,1581278580,1581377400,1581463560,1581547440,1581635100,1581721860,1581804660,1581893280,1581980400,1582065900,1582153380,1582239420,1582321920,1582397580,1582501680,1582585500,1582673100,1582760580,1582838040,1582925820,1583015640,1583089260,1583195640,1583275800,1583360700,1583449200,1583528880,1583617740,1583709180,1583794500,1583877480,1583967900,1584035880,1584129060,1584220020,1584316080,1584393120
