,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA","San Benito, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761,36.5761
Long,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876,-120.9876
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible light rain in the afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Rain in the evening and overnight.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain overnight.,Rain throughout the day.,Light rain until evening.
icon,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,clear-day,partly-cloudy-day,rain,rain,rain
sunriseTime,1579706040,1579792380,1579878720,1579965120,1580051460,1580137860,1580224200,1580310540,1580396940,1580483280,1580569620,1580655960,1580742300,1580828700,1580915040,1581001380,1581087720,1581174060,1581260400,1581346740,1581433080,1581519420,1581605760,1581692100,1581778440,1581864720,1581951060,1582037400,1582123740,1582210080,1582296360,1582382700,1582469040,1582555380,1582641660,1582728000,1582814340,1582900620,1582986960,1583073300,1583159580,1583245920,1583332260,1583418540,1583504880,1583591160,1583677500,1583763840,1583850120,1583936460,1584022740,1584109080,1584195360,1584281700,1584367980
sunsetTime,1579742400,1579828860,1579915320,1580001780,1580088240,1580174700,1580261160,1580347620,1580434080,1580520540,1580607060,1580693520,1580779980,1580866440,1580952900,1581039360,1581125820,1581212280,1581298740,1581385200,1581471660,1581558120,1581644580,1581731040,1581817500,1581903960,1581990480,1582076940,1582163400,1582249860,1582336320,1582422780,1582509240,1582595700,1582682160,1582768560,1582855020,1582941480,1583027940,1583114400,1583200860,1583287320,1583373780,1583460240,1583546700,1583633160,1583719620,1583806080,1583892540,1583978940,1584065400,1584151860,1584238320,1584324780,1584411240
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
