,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749,37.7749
Long,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194,-122.4194
Province/State,"San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA","San Francisco County, CA"
apparentTemperatureHigh,58.21,57.39,60.97,61.45,57.99,56.97,57.09,58.62,59.66,64.79,62.11,54.32,54.76,55.07,59.18,63.9,61.17,59.16,60.94,67.2,70.77,63.29,51.93,58.29,59.9,57.48,66.94,64.19,59.98,63.96,68.51,55.76,57.25,63.98,71.35,69.76,72.31,64.74,54.48,58.55,69.79,69.92,71.07,58.7,54.38,54.5,55.76,62.61,68.04,63.95,61.35,58.59,51.76,52.75,52.18
apparentTemperatureHighTime,1579740480,1579821060,1579906200,1579996740,1580075580,1580166300,1580253300,1580342580,1580429580,1580512140,1580599620,1580684400,1580775300,1580859180,1580941020,1581035940,1581113640,1581202980,1581295740,1581373080,1581460980,1581544560,1581627600,1581724440,1581803820,1581896700,1581979800,1582067040,1582156260,1582241340,1582332540,1582404900,1582505520,1582584000,1582671420,1582759860,1582847400,1582924080,1583013660,1583115360,1583197560,1583272740,1583360580,1583448600,1583533140,1583625660,1583712840,1583801400,1583884680,1583962860,1584049980,1584130920,1584231480,1584313140,1584409380
apparentTemperatureLow,46.24,50.56,53.32,54.93,51.23,52.43,46.67,51.58,51.01,51.67,51.57,38.15,41.45,42.61,46.88,45.31,45.25,50.95,54.11,57.68,51.44,46.15,45.95,47.24,46.63,48.44,50.55,46.86,48.26,52.07,52.45,44.2,46.34,52.1,53.5,53.27,56.05,45.55,43.59,54.47,53.7,52.58,51.59,52.44,50.02,44.73,50.48,52.71,54.9,48.36,50.32,46.17,42.49,38.02,43
apparentTemperatureLowTime,1579795200,1579874400,1579964580,1580040480,1580135940,1580220480,1580304720,1580393340,1580486160,1580572800,1580640780,1580745360,1580830740,1580908260,1581000180,1581088140,1581177600,1581238440,1581341640,1581414840,1581519720,1581609600,1581674040,1581775200,1581864060,1581952500,1582041000,1582114020,1582214160,1582297020,1582387200,1582462860,1582554120,1582643340,1582731960,1582812240,1582904940,1582991220,1583053380,1583161080,1583244960,1583322780,1583417700,1583498820,1583584620,1583679600,1583765520,1583850840,1583938800,1584022200,1584111480,1584180000,1584284340,1584370800,1584447600
apparentTemperatureMax,58.21,57.39,60.97,61.45,57.99,56.97,57.09,58.62,59.66,64.79,62.11,54.32,54.76,55.07,59.18,63.9,61.17,59.16,60.94,67.2,70.77,63.29,51.93,58.29,59.9,57.48,66.94,64.19,59.98,63.96,68.51,58.75,57.25,63.98,71.35,69.76,72.31,64.74,54.48,58.55,69.79,69.92,71.07,58.7,54.38,54.5,55.76,62.61,68.04,63.95,61.35,58.59,51.76,52.75,52.18
apparentTemperatureMaxTime,1579740480,1579821060,1579906200,1579996740,1580075580,1580166300,1580253300,1580342580,1580429580,1580512140,1580599620,1580684400,1580775300,1580859180,1580941020,1581035940,1581113640,1581202980,1581295740,1581373080,1581460980,1581544560,1581627600,1581724440,1581803820,1581896700,1581979800,1582067040,1582156260,1582241340,1582332540,1582358400,1582505520,1582584000,1582671420,1582759860,1582847400,1582924080,1583013660,1583115360,1583197560,1583272740,1583360580,1583448600,1583533140,1583625660,1583712840,1583801400,1583884680,1583962860,1584049980,1584130920,1584231480,1584313140,1584409380
