,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA","San Mateo, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563,37.563
Long,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255,-122.3255
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Light rain in the morning.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Light rain in the morning.
icon,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain
sunriseTime,1579706460,1579792860,1579879200,1579965540,1580051940,1580138280,1580224620,1580311020,1580397360,1580483700,1580570040,1580656380,1580742780,1580829120,1580915460,1581001800,1581088140,1581174480,1581260820,1581347160,1581433500,1581519840,1581606180,1581692460,1581778800,1581865140,1581951480,1582037820,1582124100,1582210440,1582296780,1582383120,1582469400,1582555740,1582642080,1582728360,1582814700,1582901040,1582987320,1583073660,1583159940,1583246280,1583332620,1583418900,1583505240,1583591520,1583677860,1583764140,1583850480,1583936760,1584023100,1584109380,1584195720,1584282000,1584368340
sunsetTime,1579742580,1579829040,1579915500,1580001960,1580088420,1580174880,1580261340,1580347860,1580434320,1580520780,1580607240,1580693700,1580780160,1580866620,1580953080,1581039600,1581126060,1581212520,1581298980,1581385440,1581471900,1581558360,1581644820,1581731280,1581817740,1581904260,1581990720,1582077180,1582163640,1582250100,1582336560,1582423020,1582509480,1582595940,1582682400,1582768860,1582855320,1582941780,1583028240,1583114700,1583201160,1583287620,1583374080,1583460540,1583547000,1583633460,1583719920,1583806380,1583892840,1583979240,1584065700,1584152160,1584238620,1584325080,1584411540
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
