,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324,43.0324
Long,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936,-73.936
Province/State,"Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY","Saratoga County, NY"
apparentTemperatureHigh,29.81,34.28,37.94,32.79,32.98,34.66,30.6,32.52,31.58,36.02,38.26,35.14,35.22,41.97,34.42,27.33,26.67,12.86,28.24,36.42,35.23,34.02,36.05,9.39,16.14,34.66,30.45,31.94,23.82,17.4,22.19,32.42,44.93,53.48,46.12,32.59,33.12,22.06,14.8,27.03,51.73,57.26,38.42,41.61,44.39,38.68,53.49,69.94,59.43,45.65,53.2,52.19,38.13,42.18,39.1
apparentTemperatureHighTime,1579723200,1579808520,1579895160,1579996800,1580058420,1580144220,1580230980,1580327160,1580414100,1580500140,1580585580,1580673060,1580758020,1580845800,1580932320,1581022560,1581079800,1581190620,1581279120,1581364620,1581447840,1581538260,1581620160,1581710160,1581798600,1581883200,1581962400,1582070400,1582115160,1582212120,1582315740,1582401420,1582486860,1582573800,1582657980,1582760460,1582804800,1582917360,1582977600,1583092980,1583180100,1583263140,1583351640,1583438580,1583518560,1583610900,1583697780,1583783640,1583869920,1583952420,1584042060,1584119580,1584205800,1584300840,1584388860
apparentTemperatureLow,12.25,20.17,20.27,27.87,28.42,25.93,17.74,6.76,15.86,29.1,26.98,25.62,28.54,26.44,19.63,25.36,3.44,3.44,20.62,25.85,20.5,27.95,-1.7,-9.82,10.12,17.81,11.56,23.59,7.88,-2.92,4.91,12.82,22.98,31.92,28.16,28.18,10.08,13.17,7.97,20.27,34.52,29.85,25.86,23.63,16.5,19.82,31.66,42.59,26.98,27.52,35.26,27.78,25.9,16.64,26.78
apparentTemperatureLowTime,1579777980,1579865820,1579947000,1580031900,1580119140,1580210400,1580295420,1580386740,1580471040,1580557020,1580642280,1580725440,1580796000,1580907600,1580979660,1581034980,1581153840,1581220200,1581300660,1581393300,1581507840,1581575220,1581685200,1581759840,1581824160,1581936180,1582005660,1582110660,1582196460,1582279980,1582365300,1582458240,1582544640,1582612080,1582709100,1582808400,1582886160,1582981200,1583057040,1583143080,1583232780,1583320320,1583402340,1583494860,1583579160,1583644380,1583753460,1583839920,1583926080,1583992440,1584093720,1584178500,1584273600,1584357480,1584435420
apparentTemperatureMax,29.81,34.28,37.94,32.83,32.98,34.66,30.6,32.52,31.58,36.02,38.26,35.14,35.22,41.97,34.42,27.39,31.47,12.86,28.24,36.42,35.23,34.02,36.05,23.78,16.14,34.66,30.45,32.89,31.15,17.4,22.19,32.42,44.93,53.48,46.12,32.59,33.52,22.06,15.48,27.03,51.73,57.26,38.42,41.61,44.39,38.68,53.49,69.94,59.43,45.65,53.2,52.19,38.13,42.18,39.1
apparentTemperatureMaxTime,1579723200,1579808520,1579895160,1579997640,1580058420,1580144220,1580230980,1580327160,1580414100,1580500140,1580585580,1580673060,1580758020,1580845800,1580932320,1581045120,1581063660,1581190620,1581279120,1581364620,1581447840,1581538260,1581620160,1581656400,1581798600,1581883200,1581962400,1582077840,1582088400,1582212120,1582315740,1582401420,1582486860,1582573800,1582657980,1582760460,1582803480,1582917360,1582952400,1583092980,1583180100,1583263140,1583351640,1583438580,1583518560,1583610900,1583697780,1583783640,1583869920,1583952420,1584042060,1584119580,1584205800,1584300840,1584388860
