,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA","Snohomish County, WA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033,48.033
Long,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339,-121.8339
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Rain throughout the day.,Rain throughout the day.,Light rain throughout the day.,"Light rain until afternoon, starting again overnight.",Light rain throughout the day.,"Rain until morning, starting again in the evening.",Light rain throughout the day.,Rain until evening.,Rain in the evening and overnight.,Rain throughout the day.,Rain until evening.,Foggy overnight.,Foggy in the morning.,Light rain (with a chance of 1–3 in. of snow) starting in the afternoon.,Rain throughout the day.,Rain throughout the day.,Rain throughout the day.,Light rain in the morning and afternoon.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Light rain throughout the day.,Possible light rain in the morning and afternoon.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Light rain in the morning and afternoon.,Rain throughout the day.,Possible light rain in the morning.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Light rain starting in the afternoon.,Light rain in the morning and afternoon.,Possible light rain starting in the afternoon.,Rain throughout the day.,Light rain throughout the day.,Possible light rain in the morning.,Light rain starting in the afternoon.,Light rain in the morning and afternoon.,Light rain throughout the day.,Possible light rain in the morning.,Clear throughout the day.,Light rain in the evening and overnight.,Light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Possible drizzle in the afternoon and evening.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.
icon,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,clear-day,clear-day
sunriseTime,1579708080,1579794420,1579880760,1579967100,1580053440,1580139780,1580226060,1580312400,1580398740,1580485080,1580571360,1580657700,1580744040,1580830320,1580916660,1581003000,1581089280,1581175620,1581261900,1581348240,1581434520,1581520800,1581607140,1581693420,1581779700,1581866040,1581952320,1582038600,1582124940,1582211220,1582297500,1582383780,1582470060,1582556340,1582642680,1582728960,1582815240,1582901520,1582987800,1583074080,1583160360,1583246640,1583332920,1583419200,1583505480,1583591760,1583678040,1583764320,1583850600,1583936880,1584023160,1584109440,1584195720,1584282000,1584368280
sunsetTime,1579740720,1579827240,1579913700,1580000220,1580086680,1580173200,1580259660,1580346180,1580432700,1580519160,1580605680,1580692140,1580778660,1580865180,1580951640,1581038160,1581124620,1581211140,1581297660,1581384120,1581470640,1581557160,1581643620,1581730140,1581816600,1581903120,1581989640,1582076100,1582162620,1582249080,1582335600,1582422060,1582508580,1582595100,1582681560,1582768080,1582854540,1582941060,1583027520,1583114040,1583200500,1583287020,1583373480,1583460000,1583546460,1583632980,1583719440,1583805960,1583892420,1583978940,1584065400,1584151920,1584238380,1584324900,1584411360
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
precipIntensity,0.0421,0.0702,0.03,0.0129,0.0189,0.0267,0.0224,0.0334,0.0253,0.0724,0.0703,0.002,0.005,0.0347,0.0951,0.0802,0.0425,0.0258,0.001,0.0009,0.0077,0.0022,0.0303,0.0204,0.0444,0.0182,0.0102,0.001,0.0009,0.001,0.0009,0.0081,0.0499,0.0111,0.0037,0.0045,0.0007,0.0082,0.0249,0.0044,0.0472,0.0338,0.0091,0.0143,0.0187,0.0099,0.0044,0.0008,0.0032,0.0116,0.0009,0.0057,0.0008,0.0006,0.0007
precipIntensityMax,0.1143,0.1056,0.0625,0.027,0.0504,0.1023,0.0725,0.0999,0.1351,0.1867,0.1906,0.0105,0.0297,0.0938,0.1167,0.1151,0.0934,0.1143,0.0024,0.0029,0.0178,0.0065,0.079,0.0491,0.0753,0.0627,0.0335,0.0023,0.0021,0.0022,0.002,0.0338,0.1305,0.0502,0.0243,0.0215,0.0027,0.0455,0.0892,0.0202,0.13,0.0661,0.0615,0.0623,0.0537,0.0259,0.0183,0.0022,0.0224,0.0447,0.0023,0.0156,0.002,0.002,0.0019
precipIntensityMaxTime,1579748460,1579798020,1579856100,1579983360,1580101680,1580190120,1580227140,1580331840,1580444700,1580489700,1580549280,1580634720,1580726760,1580878200,1580963460,1581030420,1581130800,1581156360,1581246060,1581331200,1581444060,1581494400,1581636540,1581668400,1581804180,1581894000,1581932280,1582069740,1582114380,1582261080,1582317720,1582393320,1582472460,1582531260,1582700400,1582704000,1582808280,1582942500,1582973880,1583121480,1583208240,1583284920,1583308800,1583464560,1583482560,1583624760,1583683140,1583748180,1583906400,1583927880,1584039780,1584130140,1584231780,1584283200,1584366900
precipProbability,0.97,1,0.99,0.89,0.96,0.97,0.96,0.94,0.91,1,0.99,0.54,0.61,0.86,1,1,0.99,0.97,0.25,0.17,0.78,0.47,0.9,0.95,0.98,0.92,0.84,0.18,0.07,0.09,0.08,0.78,0.98,0.8,0.4,0.59,0.28,0.79,0.91,0.65,0.97,0.95,0.83,0.85,0.97,0.92,0.68,0.11,0.55,0.81,0.21,0.64,0.16,0.05,0.01
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
