,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,"Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA","Sonoma County, CA"
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578,38.578
Long,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888,-122.9888
time,1579680000,1579766400,1579852800,1579939200,1580025600,1580112000,1580198400,1580284800,1580371200,1580457600,1580544000,1580630400,1580716800,1580803200,1580889600,1580976000,1581062400,1581148800,1581235200,1581321600,1581408000,1581494400,1581580800,1581667200,1581753600,1581840000,1581926400,1582012800,1582099200,1582185600,1582272000,1582358400,1582444800,1582531200,1582617600,1582704000,1582790400,1582876800,1582963200,1583049600,1583136000,1583222400,1583308800,1583395200,1583481600,1583568000,1583654400,1583737200,1583823600,1583910000,1583996400,1584082800,1584169200,1584255600,1584342000
summary,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Light rain in the evening and overnight.,Rain starting in the afternoon.,Rain in the morning.,Mostly cloudy throughout the day.,Possible light rain in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Rain in the morning.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain overnight.,"Rain until morning, starting again in the evening.",Rain in the morning and afternoon.,Possible light rain in the evening.
icon,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,cloudy,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,rain
sunriseTime,1579706760,1579793160,1579879500,1579965840,1580052240,1580138580,1580224920,1580311260,1580397660,1580484000,1580570340,1580656680,1580743020,1580829360,1580915700,1581002040,1581088380,1581174720,1581261060,1581347400,1581433740,1581520080,1581606420,1581692700,1581779040,1581865380,1581951720,1582038060,1582124340,1582210680,1582297020,1582383300,1582469640,1582555980,1582642260,1582728600,1582814940,1582901220,1582987560,1583073840,1583160180,1583246460,1583332800,1583419080,1583505420,1583591700,1583678040,1583764320,1583850660,1583936940,1584023280,1584109560,1584195900,1584282180,1584368520
sunsetTime,1579742580,1579829040,1579915500,1580002020,1580088480,1580174940,1580261400,1580347860,1580434320,1580520780,1580607300,1580693760,1580780220,1580866680,1580953140,1581039600,1581126120,1581212580,1581299040,1581385500,1581471960,1581558420,1581644880,1581731400,1581817860,1581904320,1581990780,1582077240,1582163700,1582250160,1582336620,1582423080,1582509540,1582596060,1582682520,1582768980,1582855440,1582941900,1583028360,1583114820,1583201280,1583287740,1583374200,1583460660,1583547120,1583633580,1583720040,1583806500,1583892960,1583979420,1584065880,1584152340,1584238800,1584325260,1584411720
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.4,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78
