,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912,39.5912
Long,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064,-106.064
Province/State,"Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO","Summit County, CO"
apparentTemperatureHigh,19.37,16.18,29.95,23.99,31.77,26.95,17.13,23.6,11.83,19.8,35.06,52.4,29.08,1.24,-5.19,10.2,15.51,31.36,18.49,16.88,16.3,12.28,9.06,32.67,25.3,25.13,16.32,16,20.84,25.65,35.26,38.78,26.18,13.09,-1.99,12.95,20.99,33.83,34.51,30.76,19.74,27.46,34.26,35.62,45.56,43.81,42.44,34.62,31.83,39.58,39.07,34.24,37.56,39.54,44.27
apparentTemperatureHighTime,1579726560,1579820340,1579894800,1579995720,1580079360,1580142000,1580254560,1580320980,1580413440,1580515440,1580597520,1580679420,1580752680,1580846280,1580940120,1581040800,1581105300,1581192120,1581270420,1581358080,1581458460,1581523320,1581635160,1581707460,1581793980,1581882900,1581969720,1582060380,1582139100,1582232580,1582315560,1582412460,1582487640,1582552800,1582674300,1582747320,1582844700,1582933440,1583013000,1583092980,1583186580,1583272980,1583352540,1583454720,1583531580,1583612040,1583698560,1583789280,1583866620,1583953800,1584057540,1584129360,1584218160,1584305820,1584399780
apparentTemperatureLow,6.57,9.01,12.88,9.38,11.89,2.64,0.57,-0.54,-6.33,13.05,11.03,18.69,-5.28,-29.21,-6.13,9.68,14.66,7.75,5.38,-13.6,-3.97,-3.3,0.59,11.21,14.51,9.65,-4.28,-2.12,-19.76,-7.02,9.2,17.02,4.11,-9.24,-24.46,8.4,2.98,6.42,13.55,15.48,-0.71,-0.28,10.2,8.79,14.4,25.17,22.23,18.69,16.27,25.87,16.88,17.17,13.07,15.93,25.26
apparentTemperatureLowTime,1579777440,1579865040,1579964400,1580050380,1580122980,1580209140,1580282160,1580395440,1580472660,1580530380,1580635080,1580716320,1580828400,1580907420,1580983080,1581065940,1581130260,1581253440,1581346800,1581428460,1581480120,1581563460,1581686160,1581776220,1581832860,1581951600,1582034520,1582120320,1582203780,1582273680,1582357200,1582470000,1582541160,1582642080,1582714560,1582779240,1582886940,1582984620,1583057580,1583157900,1583237220,1583321040,1583410920,1583492340,1583581980,1583647440,1583758920,1583838180,1583933820,1584021000,1584094320,1584179880,1584274800,1584366180,1584435660
apparentTemperatureMax,21.35,16.18,29.95,24.61,31.77,26.95,17.13,23.6,11.83,19.8,35.06,52.4,29.08,5.41,-3.96,10.9,17.6,31.36,18.49,16.88,16.3,12.28,9.06,32.67,25.3,25.13,19.05,16,20.84,25.65,35.26,38.78,27.64,13.32,-0.55,12.95,20.99,33.83,34.51,30.76,25.54,27.46,34.26,35.62,45.56,43.81,42.44,34.62,31.83,39.58,39.07,34.24,37.56,39.54,44.27
apparentTemperatureMaxTime,1579676400,1579820340,1579894800,1579935600,1580079360,1580142000,1580254560,1580320980,1580413440,1580515440,1580597520,1580679420,1580752680,1580814480,1580962500,1581050580,1581141600,1581192120,1581270420,1581358080,1581458460,1581523320,1581635160,1581707460,1581793980,1581882900,1581922800,1582060380,1582139100,1582232580,1582315560,1582412460,1582444800,1582552200,1582619640,1582747320,1582844700,1582933440,1583013000,1583092980,1583132400,1583272980,1583352540,1583454720,1583531580,1583612040,1583698560,1583789280,1583866620,1583953800,1584057540,1584129360,1584218160,1584305820,1584399780
