,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478,35.7478
Long,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923,-86.6923
Province/State,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
apparentTemperatureHigh,42.94,39.93,43.82,36.25,45.21,55.11,47.51,46.78,50.27,52.87,44.18,65.74,68.24,61.71,59.63,38.07,32.54,44.29,60.2,55.84,42.67,62.7,36.53,26.92,50.94,56.42,63.34,58.54,50.29,32.61,35.35,52.9,54.54,51.15,55.21,37.73,38.8,40.51,45.82,64.79,57.43,65.48,63.86,62.49,44.13,53.71,65.32,63.97,65.93,62.25,70.74,58.97,65.94,43.37,56.01
apparentTemperatureHighTime,1579722660,1579798320,1579888740,1579981680,1580069160,1580155740,1580242200,1580326560,1580414640,1580498160,1580586960,1580673840,1580759340,1580853480,1580946840,1581011340,1581120600,1581191640,1581277500,1581374820,1581450540,1581551280,1581598800,1581714540,1581798300,1581882780,1581969300,1582048320,1582142520,1582235880,1582315680,1582401660,1582483320,1582590600,1582660380,1582722000,1582835280,1582922580,1583006940,1583092200,1583186520,1583265060,1583348340,1583439720,1583525040,1583611320,1583697360,1583784300,1583869800,1583956260,1584052560,1584124680,1584215700,1584302340,1584388980
apparentTemperatureLow,31.33,36.98,28.36,25.23,37.39,26.81,30.7,33.42,38.28,39.16,27.02,40.05,54.53,41.42,30.96,20.97,24.69,24.31,40.84,34.4,34.11,34.46,7.79,12.76,34.62,34.12,52.22,28.2,28.51,11.83,21.19,26.44,34.67,42.36,36.8,21.54,29.15,25.24,26.33,42.94,56.1,41.64,38.12,34.66,22.71,26.84,41.13,53.95,44.6,54.07,53.63,42.35,32.95,31.8,51.5
apparentTemperatureLowTime,1579755300,1579830960,1579946460,1580035500,1580094240,1580218680,1580292240,1580379480,1580468400,1580565600,1580637360,1580727240,1580814840,1580908560,1580997600,1581072720,1581159060,1581236520,1581332700,1581429600,1581490020,1581602400,1581683640,1581767040,1581850380,1581937260,1582019400,1582120140,1582207200,1582283700,1582365780,1582444920,1582551840,1582631640,1582725600,1582797120,1582888680,1582983300,1583059020,1583145960,1583198160,1583319180,1583405940,1583492700,1583575560,1583661840,1583748000,1583833620,1583920380,1583994960,1584104400,1584179280,1584277080,1584345840,1584450000
apparentTemperatureMax,42.94,39.93,43.82,36.25,45.21,55.11,47.51,46.78,50.27,52.87,44.65,65.74,68.24,62.04,60.12,55.85,32.54,44.29,60.2,55.84,54.54,62.7,56.28,26.92,50.94,56.42,63.34,58.54,50.29,35.8,35.35,52.9,54.54,52.88,55.21,43.06,38.8,40.51,45.82,64.79,58.53,65.48,63.86,62.49,50.01,53.71,65.32,63.97,65.93,62.25,70.74,65.39,65.94,43.37,56.01
apparentTemperatureMaxTime,1579722660,1579798320,1579888740,1579981680,1580069160,1580155740,1580242200,1580326560,1580414640,1580498160,1580536800,1580673840,1580759340,1580796000,1580882400,1580968800,1581120600,1581191640,1581277500,1581374820,1581400800,1581551280,1581573600,1581714540,1581798300,1581882780,1581969300,1582048320,1582142520,1582178520,1582315680,1582401660,1582483320,1582606800,1582660380,1582696800,1582835280,1582922580,1583006940,1583092200,1583211600,1583265060,1583348340,1583439720,1583474400,1583611320,1583697360,1583784300,1583869800,1583956260,1584052560,1584075600,1584215700,1584302340,1584388980
