,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545,31.0545
Long,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635,-97.5635
Province/State,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Texas
apparentTemperatureHigh,50.72,58.14,63.27,65.98,73.12,65.23,66.46,54.85,46.51,57.09,68.5,79.66,72.37,69.81,35.55,50.07,66.75,66.37,68.86,54.13,38.82,55.32,43.03,55.5,63.25,77.68,78.23,66.42,42.43,51.88,52,60.4,60.13,71.77,62.69,50.16,62.33,68.94,72.83,73.72,75.71,76.17,60.92,71.32,67.12,64.22,71.38,70.05,77.81,82.69,84.03,81.1,83.46,62.86,72.92
apparentTemperatureHighTime,1579741200,1579809960,1579896840,1579982220,1580069580,1580155620,1580240820,1580328420,1580420220,1580508060,1580588520,1580673660,1580759460,1580836140,1580931660,1581026460,1581105420,1581198720,1581292800,1581339600,1581457620,1581545100,1581630720,1581717000,1581805920,1581889260,1581975300,1582037700,1582142040,1582237440,1582321620,1582408500,1582506000,1582581180,1582660800,1582747260,1582840680,1582927140,1583006340,1583099520,1583185920,1583265240,1583326800,1583438640,1583524620,1583618400,1583704680,1583783880,1583879400,1583957940,1584050340,1584136680,1584216240,1584312780,1584396120
apparentTemperatureLow,44.62,35.19,36.34,51.57,43.12,52.25,33.52,34.58,32.88,30.61,38.93,51.92,62.23,26.11,19.74,27.76,32.74,58.5,52.5,33.18,35.69,31.77,23.1,31.59,45.4,55.38,65.28,38.7,32.82,25.28,36.43,45.6,57,39.13,28.12,23.33,29.76,39.15,55.63,62.35,62.16,58.6,42.26,40.08,41.94,41.99,60.39,58.94,64.49,65.8,66.6,68.86,55.02,56.34,64.85
apparentTemperatureLowTime,1579786740,1579872960,1579956900,1580046360,1580122680,1580219700,1580298660,1580371020,1580478540,1580553540,1580637660,1580723760,1580823120,1580910420,1580986500,1581069420,1581159780,1581234000,1581343200,1581417540,1581504540,1581600300,1581684300,1581763260,1581859920,1581925020,1582023240,1582120800,1582207020,1582282800,1582369200,1582438740,1582552200,1582634160,1582714020,1582802040,1582887660,1582973880,1583049120,1583146020,1583233500,1583330400,1583409180,1583492400,1583575440,1583650020,1583737500,1583844060,1583929800,1584010860,1584087960,1584184020,1584277200,1584362220,1584420900
apparentTemperatureMax,51.3,58.14,63.27,65.98,73.12,65.23,66.46,54.85,46.51,57.09,68.5,79.66,72.37,69.81,35.55,50.07,66.75,66.37,68.86,67.21,38.82,55.32,43.03,55.5,63.25,77.68,78.23,66.74,44.58,51.88,52,60.4,61.3,71.77,62.69,50.16,62.33,68.94,72.83,73.72,75.71,76.17,64.39,71.32,67.12,64.22,71.38,70.05,77.81,82.69,84.03,81.1,83.46,62.86,72.92
apparentTemperatureMaxTime,1579755600,1579809960,1579896840,1579982220,1580069580,1580155620,1580240820,1580328420,1580420220,1580508060,1580588520,1580673660,1580759460,1580836140,1580931660,1581026460,1581105420,1581198720,1581292800,1581320400,1581457620,1581545100,1581630720,1581717000,1581805920,1581889260,1581975300,1582011960,1582092000,1582237440,1582321620,1582408500,1582520400,1582581180,1582660800,1582747260,1582840680,1582927140,1583006340,1583099520,1583185920,1583265240,1583301600,1583438640,1583524620,1583618400,1583704680,1583783880,1583879400,1583957940,1584050340,1584136680,1584216240,1584312780,1584396120
apparentTemperatureMin,38.46,42.89,35.19,36.34,50.96,43.12,38.75,33.52,34.58,32.88,30.61,38.93,51.92,37.11,24.51,19.74,27.76,32.74,58.5,37.16,33.18,35.69,29.09,23.1,31.59,45.4,55.38,45.34,38.47,32.82,25.28,36.43,45.6,52.82,39.13,28.12,23.33,29.76,39.15,55.63,62.35,62.16,50.66,42.26,40.08,41.94,41.99,60.39,58.94,64.49,65.8,66.6,62.65,54.52,56.34
apparentTemperatureMinTime,1579701540,1579842000,1579872960,1579956900,1580101200,1580122680,1580274000,1580298660,1580371020,1580478540,1580553540,1580637660,1580723760,1580878800,1580965200,1580986500,1581069420,1581159780,1581234000,1581397200,1581417540,1581504540,1581656400,1581684300,1581763260,1581859920,1581925020,1582088400,1582122300,1582207020,1582282800,1582369200,1582438740,1582606800,1582634160,1582714020,1582802040,1582887660,1582973880,1583049120,1583146020,1583233500,1583384400,1583409180,1583492400,1583575440,1583650020,1583737500,1583844060,1583929800,1584010860,1584087960,1584244800,1584280200,1584362220
cloudCover,0.99,0.43,0.03,0.59,0.26,0.25,0.64,0.29,0.92,0.27,0.01,0.25,0.58,0.76,0.94,0.1,0.04,0.37,0.9,0.98,1,0.7,0.26,0.02,0.37,0.37,0.61,0.94,0.99,0.75,0.04,0.39,0.91,0.6,0.16,0.19,0,0.07,0.16,0.82,0.88,0.92,0.96,0.08,0.12,0.52,0.76,0.95,0.66,0.6,0.61,0.85,0.89,0.94,0.89
dewPoint,45.46,46.06,33.44,43.38,49.18,47.89,47.38,37.2,37.42,35.9,31.19,28.88,53.65,52.94,31.39,21.28,27.67,37.15,62.22,48.69,40.67,42.44,35.28,31.85,42.69,50.25,60.87,54.08,43.7,39.14,30.48,36.87,52.07,46.05,36.53,23.7,21.05,28.07,35.04,55.22,61.36,59.04,55.45,42.61,31.72,36.7,50.35,60.42,61.44,63.34,63.3,62.95,65.03,55.56,59.1
humidity,0.94,0.82,0.59,0.72,0.73,0.83,0.79,0.72,0.81,0.72,0.55,0.38,0.75,0.8,0.78,0.56,0.47,0.6,0.94,0.87,0.93,0.87,0.8,0.75,0.8,0.76,0.83,0.84,0.91,0.83,0.68,0.66,0.88,0.6,0.58,0.46,0.47,0.43,0.48,0.75,0.82,0.78,0.9,0.62,0.46,0.58,0.76,0.87,0.84,0.77,0.73,0.75,0.8,0.88,0.88
icon,rain,rain,clear-day,partly-cloudy-day,clear-day,clear-day,rain,clear-day,cloudy,clear-day,clear-day,clear-day,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,clear-day,partly-cloudy-day,cloudy,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,cloudy,cloudy,rain,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.68,0.72,0.76,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,281.5,304.8,294.9,293.8,312.5,294.6,301.6,300.8,318.2,329.4,307.2,278,267.1,280.8,301.1,361.9,326.3,287,284.4,277.1,270.7,277.8,286,286.1,280.7,292.5,285,278.7,273.5,267.7,269,264.4,268.9,289.3,298.2,308.4,298.9,305.6,303.8,288.2,280.5,276.8,292.5,304.3,298.2,297.2,283.6,276.3,283.4,286.7,283.5,276.1,272,271.8,272.5
precipAccumulation,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
precipIntensity,0.0206,0.0011,0.0006,0.0008,0.0006,0.0008,0.0214,0.0005,0.0009,0.0004,0.0004,0.0003,0.0011,0.0008,0.0022,0.0013,0.0005,0.0007,0.0062,0.0169,0.0237,0.0685,0.001,0.001,0.001,0.0011,0.0009,0.0034,0.0256,0.0168,0.0019,0.0011,0.0023,0.0013,0.0022,0.0009,0.0006,0.0006,0.0008,0.0005,0.0028,0.0021,0.0761,0.0007,0.0022,0.0013,0.0008,0.003,0.0013,0.0009,0.0006,0.0013,0.0028,0.0028,0.0056
precipIntensityMax,0.0416,0.0025,0.0019,0.0049,0.0023,0.0023,0.1717,0.0021,0.0042,0.0017,0.0015,0.0015,0.0035,0.0025,0.0117,0.0204,0.0019,0.0019,0.0313,0.0537,0.0996,0.4019,0.0069,0.0066,0.0031,0.0044,0.0025,0.01,0.0813,0.064,0.0074,0.0038,0.0073,0.0037,0.0069,0.005,0.0024,0.0056,0.0019,0.0017,0.0393,0.0076,0.8794,0.0022,0.008,0.005,0.0019,0.0072,0.0047,0.002,0.0017,0.003,0.0058,0.0113,0.0755
precipIntensityMaxTime,1579711620,1579780680,1579924680,1580014800,1580018400,1580133840,1580209260,1580288820,1580407320,1580454660,1580577840,1580680800,1580767680,1580847840,1580965200,1580968800,1581055200,1581178440,1581296280,1581332040,1581483180,1581501540,1581634860,1581667200,1581757260,1581861540,1581951540,1582074480,1582135200,1582188960,1582318740,1582354800,1582491720,1582596120,1582689600,1582704000,1582826760,1582920000,1582970100,1583081760,1583164800,1583262000,1583330460,1583420160,1583535660,1583604000,1583654400,1583755440,1583830200,1583928000,1584014340,1584144180,1584237600,1584331200,1584334800
precipProbability,0.98,0.27,0.09,0.2,0.2,0.13,0.95,0.12,0.13,0.15,0.08,0.08,0.35,0.27,0.33,0.24,0.03,0.07,0.7,0.89,0.99,0.98,0.09,0.1,0.07,0.12,0.16,0.32,0.96,0.96,0.12,0.11,0.22,0.19,0.19,0.08,0.03,0.01,0.03,0.08,0.23,0.21,0.99,0.08,0.05,0.09,0.1,0.47,0.15,0.1,0.19,0.3,0.35,0.43,0.79
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,snow,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
pressure,1017.2,1015.9,1020.7,1018,1015.3,1015.1,1011.9,1018,1019.9,1021.7,1023.6,1017.6,1008.8,1008.6,1011.9,1011.2,1012.5,1020,1014.5,1015.1,1018.7,1012.6,1024.3,1029.2,1022,1014.8,1009.6,1016,1023.9,1029.5,1036.7,1026.6,1015.9,1009.9,1015,1029.3,1028.3,1027.3,1021.9,1012.1,1008.8,1008.4,1010.3,1023.5,1031.4,1028,1022.8,1019.9,1022.6,1016.5,1010.7,1013.2,1017,1023,1020.2
summary,Light rain until evening.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Possible light rain overnight.,Rain in the morning.,Clear throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain throughout the day.,Light rain throughout the day.,Heavy rain throughout the day.,Heavy rain in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Light rain throughout the day.,Light rain in the morning.,Clear throughout the day.,Partly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Heavy rain until evening.,Clear throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain overnight.,Possible light rain in the morning.
sunriseTime,1579699680,1579786080,1579872480,1579958820,1580045220,1580131560,1580217960,1580304300,1580390700,1580477040,1580563440,1580649780,1580736120,1580822520,1580908860,1580995200,1581081600,1581167940,1581254280,1581340620,1581426960,1581513360,1581599700,1581686040,1581772380,1581858720,1581945060,1582031400,1582117740,1582204080,1582290420,1582376760,1582463100,1582549440,1582635780,1582722120,1582808460,1582894800,1582981140,1583067420,1583153760,1583240100,1583326440,1583412780,1583499120,1583585400,1583671740,1583758080,1583844420,1583930760,1584017040,1584103380,1584189720,1584276060,1584362340
sunsetTime,1579737420,1579823880,1579910340,1579996800,1580083260,1580169720,1580256180,1580342640,1580429100,1580515560,1580601960,1580688420,1580774880,1580861340,1580947800,1581034260,1581120720,1581207180,1581293640,1581380040,1581466500,1581552960,1581639420,1581725880,1581812340,1581898800,1581985200,1582071660,1582158120,1582244580,1582331040,1582417440,1582503900,1582590360,1582676820,1582763220,1582849680,1582936140,1583022600,1583109000,1583195460,1583281920,1583368320,1583454780,1583541240,1583627700,1583714100,1583800560,1583887020,1583973420,1584059880,1584146340,1584232740,1584319200,1584405660
temperatureHigh,51.22,58.64,63.77,66.48,73.62,65.73,66.96,55.35,48.8,57.59,69,80.16,72.87,70.31,43.24,50.56,67.25,66.87,68.4,54.63,45.54,55.82,48.37,56,63.75,78.18,78.65,66.44,47.05,51.67,52.39,60.9,60.57,72.27,63.19,50.68,62.83,69.44,73.33,74.22,76.15,76.67,61.13,71.82,67.62,64.72,71.88,70.36,78.04,81.62,83.31,80.42,81.77,63.36,73.24
temperatureHighTime,1579741200,1579809960,1579896840,1579982220,1580069580,1580155620,1580240820,1580328420,1580421180,1580508060,1580588520,1580673660,1580759460,1580836140,1580931780,1581026340,1581105420,1581198720,1581292560,1581339600,1581457560,1581545100,1581630720,1581717000,1581805920,1581889260,1581975060,1582039800,1582141920,1582237020,1582322040,1582408500,1582506000,1582581180,1582660800,1582747680,1582840680,1582927140,1583006340,1583099520,1583185920,1583265240,1583326800,1583438640,1583524620,1583618400,1583704680,1583783820,1583879400,1583957760,1584049920,1584136560,1584216360,1584312780,1584396060
temperatureLow,48.14,38.73,38,51.08,42.63,51.76,40.41,39.13,37.16,35.51,42.67,51.43,61.13,34.98,28.29,32.43,36.94,58.01,52.01,39.37,39.71,36.91,27.11,34.22,46.26,54.8,63.94,43.75,40.26,31.95,37.05,48.87,56.51,43.41,37.66,26.96,34.94,40.68,55.14,61.37,60.98,58.01,45.54,44.04,41.45,45.11,59.9,58.33,63.52,64.63,65.52,67.49,54.53,55.85,63.73
temperatureLowTime,1579779180,1579860240,1579958880,1580046360,1580122680,1580219700,1580299140,1580368380,1580472240,1580553600,1580637240,1580723760,1580822880,1580910300,1580993400,1581069060,1581159660,1581234000,1581343200,1581418140,1581513360,1581598260,1581684240,1581763980,1581859800,1581925500,1582023180,1582120800,1582206720,1582283340,1582364820,1582438260,1582552200,1582632540,1582713960,1582801800,1582887960,1582973640,1583049120,1583146080,1583233440,1583330400,1583409480,1583492460,1583575440,1583650020,1583737500,1583844060,1583929620,1584010740,1584087780,1584184080,1584277200,1584362220,1584420900
