,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775,45.775
Long,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606,-118.7606
Province/State,"Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR","Umatilla, OR"
apparentTemperatureHigh,38.18,52.07,51.76,53.71,44.85,51.6,51.24,44.5,47.14,63.36,56.88,34.91,33.47,29.98,39.2,50.41,54.04,36.97,41.45,46.81,53.76,48.58,53.55,42.61,39.67,39.42,41.59,40.58,42.83,47.82,52.26,57.53,57.53,40.55,52.47,55.13,61.19,66.12,40.93,44.09,52.54,59.47,54.17,62.49,57.14,41.79,46.73,52.44,59.73,57.88,51.63,42.96,23.75,30.7,38
apparentTemperatureHighTime,1579730160,1579810200,1579896840,1579989540,1580082240,1580161260,1580241540,1580327340,1580424600,1580507460,1580583000,1580680200,1580770260,1580846160,1580954220,1581026400,1581115620,1581199080,1581285720,1581375960,1581457320,1581551160,1581630660,1581716940,1581791760,1581892260,1581980460,1582062960,1582149360,1582235340,1582322460,1582411200,1582482840,1582581840,1582668180,1582754460,1582844400,1582927080,1583006760,1583100120,1583186460,1583272740,1583359320,1583445720,1583531640,1583625480,1583707860,1583794080,1583878080,1583963340,1584053880,1584128280,1584223320,1584316560,1584399600
apparentTemperatureLow,35.13,37.73,33.58,35.3,30.05,37.9,32.83,30.49,37.46,50.32,26.72,16.76,19.89,23.67,38.94,41.33,29.61,24.83,23.5,25.73,26.23,22.18,27.78,29.79,28.92,25.89,20.35,16.83,19.03,19.67,24.8,31.79,24.15,21.59,31.21,25.93,30.42,28.01,23.43,26.61,35.7,35.54,29.48,35.87,29.5,27.18,27.38,24.34,34.69,26.12,26.31,18.38,18.46,21.18,18.88
apparentTemperatureLowTime,1579748640,1579871760,1579964100,1580015760,1580136960,1580225340,1580309460,1580396220,1580443020,1580567100,1580659200,1580738640,1580825100,1580871780,1580958000,1581089280,1581170520,1581257580,1581343500,1581432240,1581518940,1581603360,1581690120,1581743280,1581868620,1581951480,1582036620,1582117620,1582207020,1582294260,1582382880,1582448820,1582552920,1582639380,1582726680,1582811940,1582898340,1582986060,1583073720,1583157420,1583244060,1583331120,1583416860,1583502960,1583596800,1583675700,1583762160,1583848500,1583935320,1584022080,1584090060,1584195180,1584280080,1584344460,1584452460
apparentTemperatureMax,38.76,52.07,51.76,53.71,44.85,51.6,51.24,44.5,47.14,63.36,56.88,34.91,33.47,29.98,41.24,50.41,54.04,36.97,41.45,46.81,53.76,48.58,53.55,42.61,39.67,39.42,41.59,40.58,42.83,47.82,52.26,57.53,57.53,40.55,52.47,55.13,61.19,66.12,40.93,44.09,52.54,59.47,54.17,62.49,57.14,41.79,46.73,52.44,59.73,57.88,51.63,42.96,28.29,30.7,38
apparentTemperatureMaxTime,1579759740,1579810200,1579896840,1579989540,1580082240,1580161260,1580241540,1580327340,1580424600,1580507460,1580583000,1580680200,1580770260,1580846160,1580972400,1581026400,1581115620,1581199080,1581285720,1581375960,1581457320,1581551160,1581630660,1581716940,1581791760,1581892260,1581980460,1582062960,1582149360,1582235340,1582322460,1582411200,1582482840,1582581840,1582668180,1582754460,1582844400,1582927080,1583006760,1583100120,1583186460,1583272740,1583359320,1583445720,1583531640,1583625480,1583707860,1583794080,1583878080,1583963340,1584053880,1584128280,1584173760,1584316560,1584399600
