,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15,40.15
Long,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624,-111.8624
Province/State,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah,Utah
apparentTemperatureHigh,39.76,42.95,38.65,38.77,45.7,39.06,39.53,34.06,34.58,38.17,46.61,57.39,14.44,18.31,20.76,33.5,43.63,50.98,34,31.26,33.17,38.46,43,53.45,43.19,39.19,35.68,34.09,30.2,37.13,46.61,47.67,52.1,34.32,34.4,43.27,51.71,55.7,57.97,32.42,37.65,44.76,54.57,62.64,66.39,62.03,50.74,56.04,55.99,57.76,58.88,43.05,56.7,61.09,60.22
apparentTemperatureHighTime,1579719600,1579815720,1579907040,1579986240,1580076480,1580162520,1580241300,1580330040,1580421120,1580514300,1580595780,1580681160,1580760900,1580849700,1580941020,1581033060,1581119940,1581191940,1581285000,1581357720,1581458100,1581544800,1581630420,1581715560,1581805260,1581897420,1581969960,1582063740,1582152120,1582242180,1582324680,1582408920,1582495080,1582581120,1582667280,1582754580,1582842900,1582928940,1583010960,1583080620,1583186340,1583272980,1583364600,1583446260,1583530800,1583610720,1583701140,1583788500,1583879940,1583961420,1584052680,1584122220,1584224520,1584308940,1584396000
apparentTemperatureLow,33.7,27.45,32.3,26.76,31.92,25.62,28.55,28.21,20.04,26.88,28.31,13.37,9.41,7.79,15.66,30.99,27.07,22.21,18.08,15.39,22.1,21.23,23.3,27.42,33.64,26.96,17.8,16.66,11.74,16.93,27.97,28.49,23.81,20.11,15.61,23.16,24.9,32.46,30.13,24.97,23.52,25.03,29.16,36.5,40.29,40.85,35.26,34.34,35.85,36.48,32.11,34.3,41.48,38.2,38.1
apparentTemperatureLowTime,1579760160,1579874460,1579961100,1580050740,1580136960,1580201460,1580306640,1580355540,1580481000,1580567700,1580654400,1580735460,1580827020,1580893080,1580973780,1581043860,1581170820,1581259800,1581334800,1581431760,1581490860,1581602760,1581690300,1581753240,1581836400,1581943860,1582034400,1582122600,1582208520,1582294140,1582381020,1582466760,1582552860,1582638360,1582724700,1582808580,1582887240,1582974000,1583073840,1583154600,1583227020,1583323200,1583416020,1583502000,1583589060,1583676000,1583747880,1583844960,1583934600,1584020460,1584102840,1584147600,1584279780,1584366360,1584453060
apparentTemperatureMax,39.76,42.95,38.65,38.77,45.7,39.06,39.53,34.13,34.58,38.17,46.61,57.39,26.09,18.31,20.76,33.5,43.63,50.98,34,31.26,33.17,38.46,43,53.45,43.19,39.19,35.68,34.09,30.2,37.13,46.61,47.67,52.1,34.32,34.4,43.27,51.71,55.7,57.97,42.74,37.65,44.76,54.57,62.64,66.39,62.03,52.65,56.04,55.99,57.76,58.88,43.05,56.7,61.09,60.22
apparentTemperatureMaxTime,1579719600,1579815720,1579907040,1579986240,1580076480,1580162520,1580241300,1580295660,1580421120,1580514300,1580595780,1580681160,1580713200,1580849700,1580941020,1581033060,1581119940,1581191940,1581285000,1581357720,1581458100,1581544800,1581630420,1581715560,1581805260,1581897420,1581969960,1582063740,1582152120,1582242180,1582324680,1582408920,1582495080,1582581120,1582667280,1582754580,1582842900,1582928940,1583010960,1583046000,1583186340,1583272980,1583364600,1583446260,1583530800,1583610720,1583650800,1583788500,1583879940,1583961420,1584052680,1584122220,1584224520,1584308940,1584396000
