,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459,44.0459
Long,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107,-72.7107
Province/State,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont,Vermont
apparentTemperatureHigh,27.03,35.74,32.87,25.41,27.54,27.55,18.82,12.4,28.07,31.54,30.63,26.49,27.82,34.64,18.94,22,28.07,0.62,16.23,29.29,32.29,26.25,31.74,-1.33,13.41,24.7,15.7,20.45,15.14,5.76,15.32,27.1,38.61,44.28,41.04,34.77,25.95,12.18,7.49,16.96,33.36,46.56,25.39,32.7,34.2,19.51,38.48,56.9,51.58,28.8,33.17,38.54,31.94,18.92,28.04
apparentTemperatureHighTime,1579719960,1579809420,1579895220,1579996800,1580053500,1580144040,1580221020,1580320800,1580413740,1580495220,1580581140,1580677380,1580758380,1580846700,1580944020,1581027660,1581098160,1581193320,1581277860,1581364620,1581451500,1581532020,1581622860,1581724800,1581796680,1581882420,1581972960,1582070400,1582113600,1582203240,1582314540,1582401420,1582484400,1582569780,1582649760,1582740060,1582804800,1582916460,1582977600,1583103720,1583186280,1583258700,1583338380,1583438340,1583517840,1583610720,1583698980,1583783100,1583854620,1583956020,1584043320,1584126600,1584212820,1584296220,1584388320
apparentTemperatureLow,11.08,20.81,21.73,25.41,21.42,17.28,8.94,1.44,11.74,22.66,20.67,17.56,22.03,12.26,12.66,21.48,-5.75,-14.92,12.17,22.87,13.35,20.48,-14.47,-15.43,7.67,12.21,3.6,14.15,-2.27,-12.46,6.13,14.66,19.7,32.48,27.51,25.78,1.28,6.4,-0.94,7.79,32.55,22.9,19.12,24.32,5.04,12.56,31.62,37.78,18.12,20.82,24.75,19.81,13.08,9.2,17.67
apparentTemperatureLowTime,1579778520,1579866480,1579929360,1579996800,1580084100,1580212980,1580299380,1580359080,1580471700,1580522460,1580643360,1580714700,1580818260,1580907600,1580988420,1581034380,1581166740,1581243600,1581299820,1581426000,1581508320,1581554220,1581682320,1581765720,1581821160,1581943800,1582013520,1582117200,1582194900,1582285140,1582369860,1582457760,1582544520,1582629480,1582718400,1582808400,1582887420,1582981200,1583055300,1583127720,1583232360,1583324160,1583401860,1583494260,1583579760,1583664420,1583715600,1583840940,1583928000,1584014400,1584097080,1584186720,1584270900,1584327060,1584423540
apparentTemperatureMax,27.03,35.74,32.87,27.18,33.16,27.55,20.01,12.55,28.07,31.54,30.63,26.49,27.82,34.64,22.92,23.02,28.07,0.82,16.23,29.29,32.29,26.25,31.74,1.11,13.41,24.7,19.77,24.92,23.95,5.76,15.32,27.1,38.61,44.28,41.04,34.77,27.32,12.18,8.43,16.96,35.31,46.56,33.01,32.7,34.2,19.51,38.48,56.9,51.58,30.46,33.17,38.54,31.94,20.44,28.04
apparentTemperatureMaxTime,1579719960,1579809420,1579895220,1580011200,1580018640,1580144040,1580192640,1580274000,1580413740,1580495220,1580581140,1580677380,1580758380,1580846700,1580881440,1581046500,1581098160,1581214440,1581277860,1581364620,1581451500,1581532020,1581622860,1581656400,1581796680,1581882420,1581918840,1582084620,1582088400,1582203240,1582314540,1582401420,1582484400,1582569780,1582649760,1582740060,1582783080,1582916460,1582967160,1583103720,1583208000,1583258700,1583298000,1583438340,1583517840,1583610720,1583698980,1583783100,1583854620,1583899200,1584043320,1584126600,1584212820,1584252060,1584388320
