,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands,Virgin Islands
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358,18.3358
Long,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963,-64.8963
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Humid and partly cloudy throughout the day.,Possible light rain overnight.,Possible light rain and humid throughout the day.,Possible drizzle in the morning.,Possible light rain starting in the afternoon.,Possible light rain until evening.,Possible drizzle in the morning.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible light rain overnight.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Possible light rain and humid throughout the day.,Possible drizzle in the afternoon.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the morning and afternoon.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible light rain in the afternoon and evening.,Light rain in the morning and afternoon.,Possible light rain until evening.,Partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Humid and partly cloudy throughout the day.
icon,rain,rain,rain,rain,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,rain,rain,clear-day,rain,clear-day,rain,rain,rain,partly-cloudy-day,clear-day,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,clear-day,rain,clear-day,rain,rain,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,clear-day,rain
sunriseTime,1579690560,1579776960,1579863360,1579949700,1580036100,1580122500,1580208900,1580295300,1580381700,1580468040,1580554440,1580640840,1580727240,1580813580,1580899980,1580986380,1581072720,1581159120,1581245460,1581331860,1581418260,1581504600,1581591000,1581677340,1581763740,1581850080,1581936480,1582022820,1582109160,1582195560,1582281900,1582368300,1582454640,1582540980,1582627380,1582713720,1582800060,1582886460,1582972800,1583059140,1583145540,1583231880,1583318220,1583404560,1583490960,1583577300,1583663640,1583749980,1583836320,1583922720,1584009060,1584095400,1584181740,1584268080,1584354480
sunsetTime,1579730940,1579817340,1579903800,1579990260,1580076660,1580163120,1580249520,1580335980,1580422380,1580508840,1580595300,1580681700,1580768160,1580854560,1580941020,1581027420,1581113880,1581200280,1581286740,1581373140,1581459600,1581546000,1581632460,1581718860,1581805320,1581891720,1581978120,1582064580,1582150980,1582237440,1582323840,1582410240,1582496700,1582583100,1582669500,1582755960,1582842360,1582928760,1583015220,1583101620,1583188020,1583274480,1583360880,1583447280,1583533740,1583620140,1583706540,1583792940,1583879400,1583965800,1584052200,1584138600,1584225060,1584311460,1584397860
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
precipIntensity,0.0018,0.0055,0.0135,0.0048,0.0086,0.0104,0.0023,0.0002,0.0003,0.0002,0.0004,0.0004,0.0002,0.0002,0.001,0.0013,0.002,0.0003,0.003,0.0041,0.0009,0.0056,0.0005,0.0049,0.0081,0.0067,0.0013,0.0011,0.002,0.0017,0.0004,0.0002,0.0001,0.0022,0.0095,0.0021,0.0002,0.0015,0.0003,0.0047,0.0116,0.0004,0.0004,0.0013,0.0015,0.0066,0.0111,0.0134,0.0008,0.0041,0.0019,0.0043,0.0038,0.0004,0.002
precipIntensityMax,0.0069,0.0225,0.0242,0.0166,0.0315,0.0311,0.0081,0.0005,0.0015,0.0008,0.0012,0.0012,0.0008,0.0006,0.0038,0.0036,0.0091,0.0008,0.0177,0.0239,0.0053,0.0151,0.0041,0.0129,0.0192,0.0228,0.0038,0.0028,0.0088,0.0076,0.0016,0.0004,0.0004,0.0059,0.0271,0.0087,0.0012,0.011,0.0011,0.0142,0.0272,0.0039,0.0011,0.0027,0.0073,0.0288,0.0301,0.0282,0.0052,0.0117,0.0164,0.0193,0.009,0.0029,0.0071
precipIntensityMaxTime,1579668000,1579831020,1579884780,1579927440,1580093220,1580165040,1580186520,1580270400,1580403420,1580500980,1580612400,1580616000,1580720580,1580806740,1580921160,1580979660,1581077640,1581141780,1581303600,1581314640,1581447780,1581488040,1581649200,1581721020,1581822000,1581832500,1581980400,1582037880,1582124220,1582179060,1582265700,1582394880,1582437900,1582599600,1582635600,1582697220,1582858800,1582901940,1582978020,1583103360,1583132640,1583208000,1583323020,1583399640,1583496120,1583614620,1583657880,1583787180,1583812800,1583923020,1584068400,1584101400,1584170400,1584244800,1584368580
