,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072,38.9072
Long,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369,-77.0369
Province/State,"Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C.","Washington, D.C."
apparentTemperatureHigh,40.2,43.43,50.72,50.12,44.48,45.71,41.49,42.67,42.54,46.62,50.59,53.61,65.98,65.41,42.97,45.18,58.58,41.71,46.8,44.94,56.09,49.66,55.24,32.7,30.39,51.99,54.37,58.2,52.12,40.64,35.14,53.24,57.76,60.1,53.25,52.72,35.64,42.72,30.75,50.23,64.9,62.82,63.78,55.02,50.88,51.61,60.92,73.96,70.39,55.83,62.99,74.17,57.91,50.5,54.44
apparentTemperatureHighTime,1579726680,1579809060,1579893780,1579986000,1580061840,1580151000,1580238720,1580333700,1580412420,1580500800,1580588940,1580679120,1580760240,1580846940,1580904000,1581031980,1581078960,1581191280,1581272940,1581379200,1581452520,1581533580,1581618120,1581681600,1581799980,1581885600,1581967020,1582062660,1582144080,1582224480,1582329600,1582407300,1582488000,1582570740,1582662180,1582737900,1582824060,1582925400,1583020800,1583096460,1583179500,1583270520,1583354520,1583435880,1583524800,1583617080,1583703600,1583784120,1583868480,1583959380,1584039180,1584127860,1584215100,1584305820,1584386340
apparentTemperatureLow,25.82,32.19,43.02,35.75,33.86,34.49,35.09,26.96,33.49,31.82,33.19,45.32,52.29,39.91,33.62,39.87,28.98,28.32,36.46,44.94,38.1,35.3,30.12,16.13,25.1,36.88,39.26,39.48,30.63,15.54,26.45,28.88,34.42,44.05,49.93,29.5,26.65,24.05,25.91,35.36,45.79,45.56,39.91,34.87,32.25,33.14,42.41,55.55,45.5,46.98,50.29,44.39,36.79,35.17,41.21
apparentTemperatureLowTime,1579774500,1579860840,1579931160,1580039460,1580123640,1580208720,1580296260,1580382480,1580452500,1580556960,1580637720,1580733720,1580817960,1580907600,1580983920,1581037200,1581148920,1581242520,1581310020,1581379200,1581510000,1581570000,1581685200,1581767220,1581824520,1581941760,1582017960,1582117200,1582196700,1582285320,1582372140,1582457940,1582543440,1582625400,1582710000,1582808400,1582854360,1582974540,1583045820,1583125680,1583236320,1583321520,1583408940,1583496960,1583581800,1583662620,1583748900,1583831160,1583927700,1583996400,1584083400,1584181080,1584273600,1584358980,1584434100
apparentTemperatureMax,40.2,43.43,50.72,50.12,44.48,45.71,41.49,42.67,42.54,46.62,50.59,53.61,65.98,65.41,56.44,45.27,58.58,41.71,46.8,47.11,56.09,49.66,55.24,38.46,30.39,51.99,54.37,58.2,53.76,40.64,35.14,53.24,57.76,60.1,53.25,52.72,37.98,42.72,30.99,50.23,64.9,62.82,63.78,55.02,50.88,51.61,60.92,73.96,70.39,59.4,62.99,74.17,57.91,50.5,54.44
apparentTemperatureMaxTime,1579726680,1579809060,1579893780,1579986000,1580061840,1580151000,1580238720,1580333700,1580412420,1580500800,1580588940,1580679120,1580760240,1580846940,1580878800,1581047580,1581078960,1581191280,1581272940,1581393600,1581452520,1581533580,1581618120,1581663360,1581799980,1581885600,1581967020,1582062660,1582088400,1582224480,1582329780,1582407300,1582488000,1582570740,1582662180,1582737900,1582779600,1582925400,1583022720,1583096460,1583179500,1583270520,1583354520,1583435880,1583524800,1583617080,1583703600,1583784120,1583868480,1583899200,1584039180,1584127860,1584215100,1584305820,1584386340
