,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009,47.4009
Long,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905,-121.4905
Province/State,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington
apparentTemperatureHigh,37.36,36.34,39.41,40.46,41.2,42.58,42.94,36.4,36.69,45.46,40.19,37.01,33.43,31.81,34.7,38.51,42.74,36.61,34.89,43.42,35.16,42.6,36.6,34.64,36.03,36.68,36.57,37.04,36.66,41.35,46.02,38.69,31.91,34.8,41,40.46,56.73,47.09,36.86,36.91,34.87,41.74,43.58,54.72,40.08,40.59,39.51,42.97,39.14,38.31,41.41,36.57,31.3,38.03,53.84
apparentTemperatureHighTime,1579715820,1579813560,1579894440,1579997640,1580076060,1580151780,1580251680,1580346000,1580435520,1580512500,1580576400,1580681100,1580757900,1580862540,1580953260,1581002220,1581110820,1581198180,1581281460,1581368340,1581463260,1581533040,1581620040,1581714060,1581789720,1581887760,1581980340,1582062420,1582150380,1582237980,1582325160,1582416180,1582470000,1582585140,1582663800,1582754400,1582844220,1582920780,1583012220,1583092800,1583197140,1583273940,1583366340,1583445480,1583535540,1583613060,1583701200,1583798400,1583881080,1583972220,1584046920,1584141900,1584219720,1584316620,1584395460
apparentTemperatureLow,30.09,31.98,29.59,28.71,29.15,26.9,31.24,23.46,28.71,34.12,23.33,24.03,23.05,26.14,28.01,31.2,23.47,23.06,26.5,25.43,31.55,22.75,24.54,25.53,26.37,23.27,15.97,14.46,16.22,21.11,24.51,25.52,23.27,23.6,31.03,27.56,26.57,24.93,24.31,24.72,29.16,26.4,27.67,30.64,28.56,26.29,18.5,23.63,29.13,24.87,29.47,18.22,14.1,22.43,24.65
apparentTemperatureLowTime,1579780080,1579843980,1579961220,1580020200,1580120760,1580193300,1580312520,1580397060,1580440440,1580531940,1580629320,1580734080,1580795940,1580909100,1580963820,1581044400,1581153960,1581256860,1581318420,1581429720,1581504840,1581598500,1581670500,1581763800,1581858000,1581917040,1582034520,1582127820,1582210740,1582300080,1582372440,1582473600,1582546080,1582642980,1582697040,1582785780,1582889220,1582978380,1583049600,1583140440,1583207880,1583320680,1583384820,1583503620,1583581620,1583671500,1583764920,1583834340,1583920260,1584014280,1584087360,1584198000,1584281220,1584360000,1584457200
apparentTemperatureMax,37.36,36.34,40.88,40.85,41.2,42.58,42.94,36.83,36.69,45.46,54.28,37.01,33.43,31.81,34.95,38.91,42.74,36.61,34.89,43.42,36.53,42.6,36.6,34.64,36.03,36.68,36.57,37.04,36.66,41.35,46.02,38.69,33.13,35.32,41,40.46,56.73,47.09,36.86,36.91,36.84,41.74,43.58,54.72,40.08,40.59,39.51,42.97,39.14,38.31,41.41,36.57,31.3,38.03,53.84
apparentTemperatureMaxTime,1579715820,1579813560,1579935600,1579939200,1580076060,1580151780,1580251680,1580354820,1580435520,1580512500,1580551380,1580681100,1580757900,1580862540,1580968800,1581057780,1581110820,1581198180,1581281460,1581368340,1581486000,1581533040,1581620040,1581714060,1581789720,1581887760,1581980340,1582062420,1582150380,1582237980,1582325160,1582416180,1582464060,1582603020,1582663800,1582754400,1582844220,1582920780,1583012220,1583092800,1583211840,1583273940,1583366340,1583445480,1583535540,1583613060,1583701200,1583798400,1583881080,1583972220,1584046920,1584141900,1584219720,1584316620,1584395460
