,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608,40.5608
Long,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035,-119.6035
Province/State,"Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV","Washoe County, NV"
apparentTemperatureHigh,54.06,52.55,54.34,57.3,52.74,50.83,50.84,50.83,53.14,58.05,59.98,38.48,29.82,37.11,46.48,56.36,60.99,50.62,40.42,52.28,52.87,54.54,56.03,58.19,60.43,55.32,45.82,42.14,44.76,52.11,56.56,61.46,61.26,57.73,56.91,65.42,64.82,65.4,60.88,36.33,56.05,62.32,67.95,69.51,69.45,52.42,55.4,56.21,62.14,65.66,64.34,64.87,42.93,43.02,55.14
apparentTemperatureHighTime,1579729380,1579816860,1579906380,1579992720,1580074500,1580162460,1580241720,1580335560,1580421660,1580509320,1580598360,1580663640,1580769360,1580853120,1580940000,1581033120,1581116280,1581191940,1581285780,1581375060,1581464880,1581544980,1581640020,1581718080,1581807300,1581892080,1581973620,1582064220,1582149660,1582236420,1582329540,1582412400,1582494660,1582582260,1582668300,1582758840,1582843620,1582927620,1583012340,1583099580,1583190060,1583277720,1583359620,1583446260,1583532000,1583610900,1583707920,1583794560,1583877900,1583964180,1584051600,1584137040,1584216060,1584309360,1584395640
apparentTemperatureLow,29.09,34.43,30.81,37.51,30.66,28.3,25.68,35.06,29.72,28.33,29.32,9.69,8.84,17.59,22.82,23.89,24.4,18.75,18.46,20.21,20.69,23.66,25.5,25.39,35.18,21.93,15.26,15.07,18.34,23.15,24.27,23.8,23.1,22.91,26.76,25.42,26.92,31.75,24.01,20.01,26.22,28.75,30.22,35.11,39.63,34.98,36.52,27.29,32.71,28.96,26.57,35.05,29.47,28.84,25.71
apparentTemperatureLowTime,1579784640,1579879860,1579960560,1580054400,1580121420,1580226300,1580309280,1580388180,1580482680,1580562420,1580650860,1580741280,1580828220,1580914200,1580997960,1581085260,1581169860,1581260580,1581342660,1581432060,1581519300,1581604920,1581688500,1581777120,1581865020,1581950700,1582034820,1582122480,1582207020,1582295580,1582383240,1582465020,1582555320,1582642080,1582728660,1582812540,1582901040,1582985220,1583074740,1583159940,1583246100,1583332740,1583416740,1583503800,1583593200,1583673780,1583752320,1583850540,1583927820,1584022200,1584102960,1584184920,1584277440,1584363600,1584457200
apparentTemperatureMax,54.06,52.55,54.34,57.3,52.74,50.83,50.84,50.83,53.14,58.05,59.98,38.48,29.82,37.11,46.48,56.36,60.99,50.62,40.42,52.28,52.87,54.54,56.03,58.19,60.43,55.32,45.82,42.14,44.76,52.11,56.56,61.46,61.26,57.73,56.91,65.42,64.82,65.4,60.88,36.33,56.05,62.32,67.95,69.51,69.45,52.42,55.4,56.21,62.14,65.66,64.34,64.87,42.93,43.02,55.14
apparentTemperatureMaxTime,1579729380,1579816860,1579906380,1579992720,1580074500,1580162460,1580241720,1580335560,1580421660,1580509320,1580598360,1580663640,1580769360,1580853120,1580940000,1581033120,1581116280,1581191940,1581285780,1581375060,1581464880,1581544980,1581640020,1581718080,1581807300,1581892080,1581973620,1582064220,1582149660,1582236420,1582329540,1582412400,1582494660,1582582260,1582668300,1582758840,1582843620,1582927620,1583012340,1583099580,1583190060,1583277720,1583359620,1583446260,1583532000,1583610900,1583707920,1583794560,1583877900,1583964180,1584051600,1584137040,1584216060,1584309360,1584395640
