,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739,41.6739
Long,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479,-75.2479
Province/State,"Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA","Wayne County, PA"
apparentTemperatureHigh,36.32,41.59,45.26,33.51,31.47,29.42,26.06,24.66,32.14,33.57,39.09,30.22,45.85,53.71,31.98,32.87,32.18,27.42,32.16,38.55,40.92,36.97,34.78,5.3,24.55,35.34,36.7,35.09,24.18,18.77,24.27,39.21,46.31,56.97,49.01,39.55,24.64,20.47,13.66,31.62,58.43,53.84,42.08,47.39,40.11,32.54,56.72,66.85,59.05,49.52,46.17,58.13,39.43,41.85,39.6
apparentTemperatureHighTime,1579722720,1579807920,1579893480,1579990020,1580058240,1580151840,1580239740,1580327220,1580416980,1580499540,1580585760,1580663760,1580760060,1580842440,1580943840,1581015720,1581083580,1581202980,1581276840,1581362880,1581443880,1581537420,1581608760,1581708960,1581796080,1581881220,1581968640,1582067100,1582125060,1582226940,1582315800,1582401420,1582486860,1582571760,1582650540,1582745460,1582804800,1582920420,1582988760,1583093280,1583175480,1583254200,1583350200,1583438280,1583519460,1583610900,1583697420,1583781240,1583866740,1583956680,1584042180,1584126000,1584213240,1584300180,1584386640
apparentTemperatureLow,15.65,23.31,22.45,25.86,24.19,21.01,15.2,7.2,18.13,27.42,23.33,26.51,28.11,19.67,20.32,28.75,8.72,21.14,23.07,31.33,18.52,26.26,1.87,-3.65,11.21,19.82,20.02,20.53,10.98,3.5,10.49,18.54,24.94,34.22,33.29,20.76,6.48,9.39,6.82,23.3,38.86,27.92,22.56,23.05,14.98,17.69,32.87,42.83,25.62,32.37,34.02,23.72,27.33,17.31,26.68
apparentTemperatureLowTime,1579777920,1579866720,1579957200,1580036400,1580122560,1580208900,1580302800,1580384640,1580463780,1580521260,1580641920,1580703360,1580796480,1580907600,1580970420,1581039420,1581154980,1581238620,1581310260,1581409200,1581507780,1581580560,1581685200,1581755760,1581822960,1581938280,1582018080,1582110300,1582193040,1582280220,1582365480,1582452060,1582544940,1582630740,1582722000,1582808400,1582886880,1582973460,1583034360,1583138820,1583230020,1583319540,1583406060,1583492280,1583585220,1583660820,1583747340,1583833800,1583926560,1583989680,1584075000,1584185460,1584265560,1584357180,1584424980
apparentTemperatureMax,36.32,41.59,45.26,33.51,31.47,29.42,26.06,24.66,32.14,33.57,39.09,30.65,45.85,53.71,31.98,32.87,32.18,27.42,32.16,38.55,40.92,36.97,34.78,22.42,24.55,35.34,36.7,35.89,30.32,18.77,24.27,39.21,46.31,56.97,49.01,39.55,32.78,20.47,13.66,31.62,58.43,53.84,42.08,47.39,40.11,32.54,56.72,66.85,59.05,49.52,46.17,58.13,39.43,41.85,39.6
apparentTemperatureMaxTime,1579722720,1579807920,1579893480,1579990020,1580058240,1580151840,1580239740,1580327220,1580416980,1580499540,1580585760,1580629320,1580760060,1580842440,1580943840,1581015720,1581083580,1581202980,1581276840,1581362880,1581443880,1581537420,1581608760,1581658980,1581796080,1581881220,1581968640,1582076880,1582088400,1582226940,1582315800,1582401420,1582486860,1582571760,1582650540,1582745460,1582789680,1582920420,1582988760,1583093280,1583175480,1583254200,1583350200,1583438280,1583519460,1583610900,1583697420,1583781240,1583866740,1583956680,1584042180,1584126000,1584213240,1584300180,1584386640
