,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179,35.9179
Long,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622,-86.8622
Province/State,"Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN","Williamson County, TN"
apparentTemperatureHigh,43.02,41.4,44.75,37.24,46.82,56.17,47.67,47.17,49.29,52.92,45.39,67.2,69.5,62.76,56.33,38.07,33.57,45.3,62.16,55.69,43.43,58.34,36.34,28.5,52.52,57.64,64.32,58.28,51.87,34.33,37.11,53.78,56.02,52.05,55.64,37.53,39.81,42.56,47.66,66.07,59.73,65.25,64.81,63.84,50.39,54.72,67.02,64.58,66.13,61.53,72.35,59.38,59.69,44.12,54.99
apparentTemperatureHighTime,1579722840,1579800540,1579888680,1579981560,1580069040,1580155920,1580242140,1580325840,1580414580,1580499840,1580586720,1580673780,1580759220,1580846880,1580946840,1581009000,1581120660,1581191640,1581277620,1581374580,1581450060,1581552060,1581623820,1581715560,1581796920,1581882660,1581969480,1582044900,1582143300,1582235580,1582315680,1582401660,1582483380,1582592400,1582660260,1582722000,1582835580,1582921620,1583006400,1583091960,1583185980,1583265240,1583347620,1583439180,1583524860,1583611380,1583697360,1583784480,1583866320,1583956380,1584052020,1584126660,1584216180,1584302400,1584389220
apparentTemperatureLow,32.38,38.31,29.24,26.48,39.61,28.54,32.75,35.37,38.79,39.56,29.7,42.63,55.74,40.99,30.75,22.17,25.72,24.78,41.9,34.44,35.21,34.12,8.5,13.54,37.01,34.98,54.21,28.72,30.58,13.43,22.34,28.17,36.53,43.43,36.7,23.52,29.38,26.11,27.39,44.01,57.09,41.88,39.41,36.46,24.99,28.81,43.07,55.95,45.11,53.75,53.27,44.1,34.22,33.33,47.8
apparentTemperatureLowTime,1579755240,1579831860,1579949280,1580034180,1580100900,1580219400,1580294340,1580371800,1580468460,1580565600,1580637300,1580726580,1580814300,1580909460,1580997600,1581072480,1581158580,1581237000,1581341760,1581429600,1581508560,1581602400,1581687060,1581767280,1581849780,1581937140,1582018980,1582119000,1582207200,1582282980,1582365840,1582451460,1582552680,1582631880,1582725600,1582796100,1582887660,1582983300,1583047560,1583145420,1583197620,1583319180,1583405940,1583492820,1583575440,1583662020,1583750280,1583832900,1583927520,1583993220,1584104400,1584179580,1584271080,1584345840,1584450000
apparentTemperatureMax,43.02,41.4,44.75,37.24,46.82,56.17,47.67,47.17,49.29,52.92,45.39,67.2,69.5,62.76,58.35,52.91,33.57,45.3,62.16,55.69,50.96,58.34,52.79,28.5,52.52,57.64,64.32,58.28,51.87,36.83,37.11,53.78,56.02,53.92,55.64,43.93,39.81,42.56,47.66,66.07,59.99,65.25,64.81,63.84,51,54.72,67.02,64.58,66.13,61.53,72.35,66.94,59.69,44.12,54.99
apparentTemperatureMaxTime,1579722840,1579800540,1579888680,1579981560,1580069040,1580155920,1580242140,1580325840,1580414580,1580499840,1580586720,1580673780,1580759220,1580846880,1580882400,1580968800,1581120660,1581191640,1581277620,1581374580,1581400800,1581552060,1581573600,1581715560,1581796920,1581882660,1581969480,1582044900,1582143300,1582178460,1582315680,1582401660,1582483380,1582606800,1582660260,1582696800,1582835580,1582921620,1583006400,1583091960,1583211600,1583265240,1583347620,1583439180,1583474400,1583611380,1583697360,1583784480,1583866320,1583956380,1584052020,1584075600,1584216180,1584302400,1584389220
