,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756,42.756
Long,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025,-107.3025
time,1579676400,1579762800,1579849200,1579935600,1580022000,1580108400,1580194800,1580281200,1580367600,1580454000,1580540400,1580626800,1580713200,1580799600,1580886000,1580972400,1581058800,1581145200,1581231600,1581318000,1581404400,1581490800,1581577200,1581663600,1581750000,1581836400,1581922800,1582009200,1582095600,1582182000,1582268400,1582354800,1582441200,1582527600,1582614000,1582700400,1582786800,1582873200,1582959600,1583046000,1583132400,1583218800,1583305200,1583391600,1583478000,1583564400,1583650800,1583733600,1583820000,1583906400,1583992800,1584079200,1584165600,1584252000,1584338400
summary,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Snow (3–6 in.) in the morning and afternoon.,Clear throughout the day.,Foggy in the morning.,Windy in the afternoon.,Partly cloudy throughout the day.,Windy starting in the afternoon.,Windy overnight.,Windy in the morning and afternoon.,Foggy in the morning.,Clear throughout the day.,Foggy in the evening and overnight.,Mostly cloudy throughout the day.,Windy in the morning and afternoon.,Foggy in the morning.,Partly cloudy throughout the day.,Clear throughout the day.,Foggy in the afternoon and evening.,Clear throughout the day.,Windy in the morning and afternoon.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy overnight.,Windy and foggy in the morning.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Windy in the afternoon.,Foggy until evening.,Partly cloudy throughout the day.,Clear throughout the day.,Windy in the morning and afternoon.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Windy until evening.,Foggy in the morning and afternoon.,Foggy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Mostly cloudy throughout the day.
icon,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,snow,clear-day,snow,snow,partly-cloudy-day,wind,wind,snow,partly-cloudy-day,clear-day,snow,snow,snow,snow,snow,clear-day,snow,clear-day,wind,clear-day,snow,snow,snow,snow,clear-day,clear-day,clear-day,clear-day,snow,snow,clear-day,clear-day,clear-day,wind,snow,clear-day,snow,wind,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,wind,snow,snow,snow,clear-day,partly-cloudy-day
sunriseTime,1579703640,1579789980,1579876320,1579962720,1580049060,1580135400,1580221740,1580308080,1580394420,1580480760,1580567100,1580653440,1580739780,1580826120,1580912460,1580998800,1581085080,1581171420,1581257760,1581344100,1581430380,1581516720,1581603060,1581689340,1581775680,1581862020,1581948300,1582034640,1582120920,1582207260,1582293540,1582379880,1582466160,1582552500,1582638780,1582725060,1582811400,1582897680,1582984020,1583070300,1583156580,1583242920,1583329200,1583415480,1583501820,1583588100,1583674380,1583760720,1583847000,1583933280,1584019560,1584105900,1584192180,1584278460,1584364740
sunsetTime,1579738200,1579824660,1579911120,1579997640,1580084100,1580170560,1580257080,1580343540,1580430000,1580516520,1580602980,1580689440,1580775960,1580862420,1580948880,1581035400,1581121860,1581208320,1581294840,1581381300,1581467760,1581554280,1581640740,1581727200,1581813720,1581900180,1581986640,1582073100,1582159620,1582246080,1582332540,1582419060,1582505520,1582591980,1582678440,1582764960,1582851420,1582937880,1583024340,1583110860,1583197320,1583283780,1583370240,1583456760,1583543220,1583629680,1583716140,1583802600,1583889060,1583975580,1584062040,1584148500,1584234960,1584321420,1584407880
moonPhase,0.94,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.38,0.42,0.46,0.49,0.53,0.57,0.61,0.65,0.69,0.72,0.76,0.79,0.83,0.86,0.89,0.92,0.95,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.48,0.52,0.55,0.59,0.63,0.67,0.71,0.74,0.77
