,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine,Ukraine
Lat,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794,48.3794
Long,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656,31.1656
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,32.66,25.22,31.36,36.78,37.19,34.55,39.07,35.46,31.28,33.35,39.74,45,35.19,35.01,27.19,24.83,12.47,16.32,26.68,28.53,41.65,30.78,31.4,37.36,42.14,39.87,40.06,44.34,44.72,44.63,39.05,39.26,43.43,34.34,40.71,55.46,46.93,40.44,41.3,40.51,39.63,59.05,65.61,61.92,62.96,56.94,54.07,64.39,58.33,55.14,60.64,57.87,43.51,29.98,44.62
apparentTemperatureHighTime,1579698840,1579785900,1579871760,1579957680,1580036400,1580123400,1580209980,1580298900,1580390040,1580468700,1580555280,1580641200,1580719440,1580822040,1580890080,1580994300,1581078660,1581167400,1581246600,1581332640,1581419280,1581508200,1581586680,1581678120,1581777300,1581850860,1581944580,1582024020,1582110300,1582196640,1582283700,1582380000,1582464840,1582524000,1582638000,1582721700,1582798920,1582891260,1582974000,1583060400,1583146500,1583237760,1583320560,1583406720,1583499480,1583586840,1583676060,1583760360,1583838240,1583924460,1584020040,1584104940,1584180000,1584277920,1584367080
apparentTemperatureLow,21.24,19.19,20.48,21.58,18.12,24.61,27.01,21.88,18.42,26.88,29.36,32.64,19.04,26.01,10.23,6.42,4.98,12.24,6.34,25.52,24.43,21.06,18.17,25.81,21.93,17.55,24.18,28.08,25.04,22.29,17.66,20.4,31.69,22.71,27.89,33.42,24.34,29.89,23.39,27.88,31.85,35.83,38.24,40.15,38.37,37.71,42.32,41.27,38.33,37.21,50.65,33.43,18.58,15.87,20.17
apparentTemperatureLowTime,1579754640,1579844280,1579930860,1579996080,1580101560,1580159940,1580276700,1580344680,1580447340,1580494380,1580620320,1580702100,1580791920,1580882400,1580965920,1581054240,1581138780,1581205440,1581291240,1581378000,1581482880,1581569460,1581655560,1581741720,1581830460,1581915060,1582001400,1582088640,1582174080,1582261920,1582343580,1582413600,1582509540,1582605900,1582683000,1582777440,1582866180,1582955700,1583028180,1583114820,1583209500,1583287260,1583380380,1583466120,1583546760,1583633160,1583729460,1583815680,1583902500,1583983320,1584064560,1584161280,1584246720,1584328200,1584402420
apparentTemperatureMax,32.66,25.45,31.36,36.78,37.19,34.55,39.07,35.46,31.28,33.35,39.74,45,35.19,35.01,33.06,24.83,24.72,16.32,26.68,28.53,41.65,30.78,31.4,37.36,42.14,39.87,40.06,44.34,44.72,44.63,39.05,39.26,43.43,35.86,40.71,55.46,46.93,40.44,41.3,40.51,39.63,59.05,65.61,61.92,62.96,56.94,54.07,64.39,58.33,55.14,60.64,57.87,43.51,29.98,44.62
apparentTemperatureMaxTime,1579698840,1579730400,1579871760,1579957680,1580036400,1580123400,1580209980,1580298900,1580390040,1580468700,1580555280,1580641200,1580719440,1580822040,1580853600,1580994300,1581030240,1581167400,1581246600,1581332640,1581419280,1581508200,1581586680,1581678120,1581777300,1581850860,1581944580,1582024020,1582110300,1582196640,1582283700,1582380000,1582464840,1582495200,1582638000,1582721700,1582798920,1582891260,1582974000,1583060400,1583146500,1583237760,1583320560,1583406720,1583499480,1583586840,1583676060,1583760360,1583838240,1583924460,1584020040,1584104940,1584180000,1584277920,1584367080
