,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands
Country/Region,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Lat,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133,19.3133
Long,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546,-81.2546
time,1579669200,1579755600,1579842000,1579928400,1580014800,1580101200,1580187600,1580274000,1580360400,1580446800,1580533200,1580619600,1580706000,1580792400,1580878800,1580965200,1581051600,1581138000,1581224400,1581310800,1581397200,1581483600,1581570000,1581656400,1581742800,1581829200,1581915600,1582002000,1582088400,1582174800,1582261200,1582347600,1582434000,1582520400,1582606800,1582693200,1582779600,1582866000,1582952400,1583038800,1583125200,1583211600,1583298000,1583384400,1583470800,1583557200,1583643600,1583730000,1583816400,1583902800,1583989200,1584075600,1584162000,1584248400,1584334800
summary,Mostly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Humid throughout the day.,Clear throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Possible light rain in the morning.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Windy in the evening and overnight.,Windy and mostly cloudy throughout the day.,Windy in the morning and afternoon.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.,Humid throughout the day.
icon,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,rain,clear-day,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,rain,clear-day,clear-day,rain,clear-day,rain,partly-cloudy-day,partly-cloudy-day,rain,clear-day,clear-day,clear-day,rain,rain,wind,rain,rain,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day
sunriseTime,1579694580,1579780980,1579867320,1579953720,1580040120,1580126520,1580212920,1580299320,1580385660,1580472060,1580558460,1580644860,1580731200,1580817600,1580904000,1580990340,1581076740,1581163080,1581249480,1581335880,1581422220,1581508620,1581594960,1581681360,1581767700,1581854040,1581940440,1582026780,1582113180,1582199520,1582285920,1582372260,1582458600,1582545000,1582631340,1582717680,1582804020,1582890420,1582976760,1583063100,1583149500,1583235840,1583322180,1583408520,1583494860,1583581260,1583667600,1583753940,1583840280,1583926620,1584012960,1584099360,1584185700,1584272040,1584358380
sunsetTime,1579734780,1579821180,1579907640,1579994100,1580080500,1580166960,1580253360,1580339820,1580426280,1580512680,1580599140,1580685540,1580772000,1580858400,1580944860,1581031320,1581117720,1581204180,1581290580,1581377040,1581463440,1581549900,1581636300,1581722760,1581809160,1581895620,1581982020,1582068420,1582154880,1582241280,1582327740,1582414140,1582500540,1582587000,1582673400,1582759860,1582846260,1582932660,1583019120,1583105520,1583191920,1583278380,1583364780,1583451180,1583537640,1583624040,1583710440,1583796840,1583883300,1583969700,1584056100,1584142560,1584228960,1584315360,1584401760
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
