,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Lat,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723,49.3723
Long,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644,-2.3644
Province/State,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands,Channel Islands
apparentTemperatureHigh,39.17,39.11,38.55,43.08,50.89,41.76,38.84,50.88,52.9,52.73,51.3,52.91,51.14,41.63,45.62,41.13,51.61,44.63,54.76,51.44,37.84,41.87,51.3,51.69,53.65,55.01,40.8,41.72,51.09,51.48,50.66,52.08,52.68,51.36,39.13,40.13,50.47,52.62,36.9,40.64,39.19,41.83,51.43,51.45,39.78,51.45,50.82,43.09,53.03,52.78,40.39,44.86,50.56,51.39,45.68
apparentTemperatureHighTime,1579700400,1579788780,1579874700,1579975620,1580044920,1580108400,1580238000,1580300940,1580389620,1580491200,1580562300,1580626800,1580715960,1580842800,1580912820,1581001980,1581102000,1581167160,1581267000,1581340740,1581438720,1581512100,1581600060,1581706560,1581793200,1581851820,1581942540,1582031040,1582122180,1582198740,1582298400,1582383540,1582459620,1582566540,1582614000,1582743600,1582786800,1582902660,1582967100,1583067780,1583152740,1583240820,1583328060,1583397240,1583500500,1583598300,1583682000,1583758080,1583852520,1583948700,1584018180,1584108540,1584210240,1584272700,1584364800
apparentTemperatureLow,34.67,36.32,37.77,40.52,41.39,34.44,38.67,41.29,43.45,50.62,50.33,51.1,38.83,41.63,35.95,34.78,42.73,39.89,38.97,34.29,35.55,37.39,41.61,51.38,53.63,37.23,38.91,37.68,40.73,39.61,40.49,50.92,51.07,37.95,31.4,33.15,34.98,35.85,35.1,34.83,37.53,35.81,41.94,37.07,39.01,40.37,38,41.81,51.28,38.74,37.87,38.88,41.57,40.02,42.02
apparentTemperatureLowTime,1579754160,1579820340,1579892400,1580013120,1580095680,1580169240,1580255820,1580348040,1580432400,1580515020,1580589900,1580707380,1580803200,1580842800,1580976000,1581062400,1581132000,1581207660,1581301500,1581378720,1581483420,1581555480,1581621720,1581735120,1581810780,1581920040,1581966000,1582072860,1582172280,1582258440,1582322640,1582414020,1582528740,1582617600,1582685700,1582769640,1582866780,1582959060,1583009100,1583136000,1583190060,1583308800,1583390160,1583434800,1583521200,1583634900,1583732880,1583780400,1583906520,1583995380,1584075420,1584143760,1584234420,1584335280,1584426720
apparentTemperatureMax,39.17,39.11,39.56,43.08,50.89,43.18,39.7,50.88,52.9,52.73,51.3,53.15,51.48,42.44,45.62,41.13,51.63,50.86,54.76,51.44,37.84,41.87,51.3,51.69,53.98,55.01,41.81,41.72,51.09,51.48,50.66,52.08,52.68,51.47,40.31,40.51,52.25,52.62,52.06,40.64,39.58,42.54,51.43,51.45,40.83,51.45,50.82,51.07,53.03,52.78,40.9,44.86,50.95,51.39,45.68
apparentTemperatureMaxTime,1579700400,1579788780,1579906800,1579975620,1580044920,1580083200,1580246940,1580300940,1580389620,1580491200,1580562300,1580623140,1580692200,1580857200,1580912820,1581001980,1581108240,1581125460,1581267000,1581340740,1581438720,1581512100,1581600060,1581706560,1581800820,1581851820,1581897600,1582031040,1582122180,1582198740,1582298400,1582383540,1582459620,1582513200,1582588800,1582747440,1582784820,1582902660,1582943820,1583067780,1583108340,1583276400,1583328060,1583397240,1583464140,1583598300,1583682000,1583785380,1583852520,1583948700,1583971200,1584108540,1584218280,1584272700,1584364800
