,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Lat,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781,55.3781
Long,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004,-3.4360000000000004
Province/State,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
apparentTemperatureHigh,44.81,39.06,39.6,34.65,32.1,28.75,28.03,33.74,38.86,41.68,35.29,35.92,26.57,40.17,35.77,39.53,38.34,32.96,38.66,23.74,22.02,25.32,29.7,32.84,36.35,26.41,30.53,28.13,34.1,31.94,35.52,24.71,28.5,30.82,29.59,27.05,25.93,35.48,27.47,28.03,29.01,34.05,36.68,43,35.23,35.93,33.99,33.86,35.91,30.8,27.34,33.79,32.93,34.39,33.63
apparentTemperatureHighTime,1579700880,1579786140,1579872780,1579957740,1580040180,1580131440,1580229780,1580324400,1580391840,1580471640,1580566080,1580660760,1580713200,1580822040,1580909940,1580995020,1581080820,1581167520,1581234900,1581340680,1581431640,1581515340,1581600540,1581689160,1581772320,1581858120,1581937800,1582031580,1582138800,1582182000,1582311600,1582354800,1582484400,1582553040,1582638000,1582725720,1582810860,1582916400,1582959600,1583070240,1583157060,1583239980,1583328840,1583414760,1583497320,1583589300,1583673480,1583751300,1583823600,1583931900,1584028740,1584107460,1584212400,1584294780,1584363720
apparentTemperatureLow,34.66,35.11,30.51,29.83,23.99,22.32,23.42,30.88,30.72,30,30.2,26.19,21.89,29.21,28.89,24.14,26.15,28.8,21.7,20.12,18.93,21.8,23.84,27.95,24.52,21.52,23.07,23.36,27.6,23.05,23.55,22.36,19.64,22.31,23.01,20.58,24.37,25.34,21.46,24.08,24.19,27.4,27.64,28.52,25.99,30.51,29.68,32.2,26.22,19.33,24.4,27.16,28.04,29.35,29.73
apparentTemperatureLowTime,1579766400,1579852800,1579939200,1579986840,1580112000,1580198400,1580277540,1580371200,1580419680,1580544000,1580584140,1580716800,1580774880,1580885820,1580957820,1581058500,1581148800,1581188400,1581321600,1581361200,1581447600,1581573660,1581667200,1581738060,1581840000,1581897300,1581995280,1582077240,1582185600,1582225200,1582358400,1582398000,1582531200,1582570800,1582698180,1582784580,1582876800,1582963200,1583041620,1583128920,1583204340,1583267460,1583385540,1583472300,1583551260,1583654400,1583711820,1583780400,1583897820,1583992740,1584079380,1584134100,1584259200,1584345600,1584385200
apparentTemperatureMax,44.81,39.06,39.6,35.03,32.1,28.75,28.62,35.8,38.86,41.68,35.29,35.92,34.38,40.17,35.77,39.53,38.34,33.75,38.66,25.56,22.54,25.32,32.78,32.84,36.35,31.9,30.53,28.13,36.9,39.12,37.29,35.89,30.44,30.82,29.59,27.05,26.72,37.51,38.17,28.03,29.01,34.05,36.68,43,35.23,36.76,36.62,41.77,40.18,30.8,29.02,33.79,36.85,34.39,36.27
apparentTemperatureMaxTime,1579700880,1579786140,1579872780,1579914180,1580040180,1580131440,1580173080,1580334780,1580391840,1580471640,1580566080,1580660760,1580691540,1580822040,1580909940,1580995020,1581080820,1581123300,1581234900,1581296040,1581380760,1581515340,1581632340,1581689160,1581772320,1581815580,1581937800,1582031580,1582153200,1582160940,1582322460,1582329600,1582493580,1582553040,1582638000,1582725720,1582769400,1582925520,1582941420,1583070240,1583157060,1583239980,1583328840,1583414760,1583497320,1583622000,1583628840,1583793840,1583798400,1583931900,1584054000,1584107460,1584220440,1584294780,1584399600
