,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Lat,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775,41.3775
Long,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853,64.5853
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,20.57,41.87,41.38,29.7,27.02,27.82,31.47,34.32,39.72,45.81,56.29,58.31,34.27,42.99,54.82,43.68,61.03,67.3,57.22,36.01,30.52,32.64,35.62,50.24,33.96,36.93,34.71,27.37,33.65,51.96,52.32,44.51,51.68,56.53,70.27,56.81,39.25,44.63,57.42,64.96,66.98,52.81,55.05,52.5,44.47,28.68,35.36,51.13,56.15,59.64,62.77,65.85,70.5,75.15,75.43
apparentTemperatureHighTime,1579690500,1579777140,1579859820,1579917600,1580032560,1580112120,1580212440,1580291220,1580377860,1580464800,1580553900,1580636760,1580695200,1580810520,1580895780,1580989500,1581076740,1581156000,1581242460,1581315060,1581415260,1581483780,1581588060,1581674400,1581732000,1581846300,1581930120,1582019580,1582106460,1582192860,1582284420,1582372680,1582459980,1582538520,1582630920,1582682400,1582797300,1582889640,1582973820,1583057100,1583145000,1583228340,1583319300,1583402280,1583481060,1583586180,1583661780,1583748180,1583834520,1583920920,1584007440,1584093780,1584180420,1584266340,1584354780
apparentTemperatureLow,16.82,32.92,28.76,19.31,16.66,14.82,18.31,16.22,22.23,28.25,32.79,32.81,29.65,31.34,28.52,31.27,37.49,51.46,31.52,15.32,25.28,18.49,25.34,32.4,21.28,21.73,16.75,8.43,18.09,32.37,29.5,27.85,31.86,39.76,56.29,28.22,19.04,27.57,40.51,43.91,28.6,22.64,29.5,32.88,5.57,8.46,18.41,29.44,34.66,39,42.25,43.62,50.28,54.89,50.72
apparentTemperatureLowTime,1579719180,1579823400,1579921200,1580007600,1580082060,1580179620,1580266020,1580349960,1580424240,1580522520,1580608860,1580698800,1580785200,1580867700,1580947500,1581040500,1581127140,1581206340,1581303480,1581388020,1581453540,1581541200,1581628680,1581735600,1581810420,1581907380,1581994800,1582069680,1582164300,1582230600,1582339620,1582415700,1582502280,1582588260,1582686000,1582772220,1582855080,1582934820,1583016600,1583113200,1583202540,1583287200,1583373360,1583461920,1583548140,1583632740,1583718900,1583797800,1583880660,1583970780,1584056220,1584149340,1584230280,1584321120,1584409740
apparentTemperatureMax,22.68,41.87,41.38,33.21,27.02,27.82,31.47,34.32,39.72,45.81,56.29,58.31,38.52,42.99,54.82,43.68,61.03,67.3,57.22,40.24,30.52,32.64,35.62,50.24,40.29,36.93,34.71,27.37,33.65,51.96,52.32,44.51,51.68,56.53,70.27,59.94,39.25,44.63,57.42,64.96,66.98,52.81,55.05,52.5,44.47,28.68,35.36,51.13,56.15,59.64,62.77,65.85,70.5,75.15,75.43
apparentTemperatureMaxTime,1579636320,1579777140,1579859820,1579892400,1580032560,1580112120,1580212440,1580291220,1580377860,1580464800,1580553900,1580636760,1580670000,1580810520,1580895780,1580989500,1581076740,1581156000,1581242460,1581274800,1581415260,1581483780,1581588060,1581674400,1581706800,1581846300,1581930120,1582019580,1582106460,1582192860,1582284420,1582372680,1582459980,1582538520,1582630920,1582657200,1582797300,1582889640,1582973820,1583057100,1583145000,1583228340,1583319300,1583402280,1583481060,1583586180,1583661780,1583748180,1583834520,1583920920,1584007440,1584093780,1584180420,1584266340,1584354780
apparentTemperatureMin,14.82,16.82,32.92,20.88,18.43,16.66,14.82,18.31,16.22,22.23,28.25,32.79,30.66,29.6,31.34,28.52,31.27,37.49,41.66,22.9,15.32,19.74,18.49,25.34,23.03,21.28,21.73,11.73,8.43,18.09,32.37,29.5,27.85,31.86,39.76,32.92,27.18,19.04,27.57,40.51,43.91,28.6,22.64,29.5,27.66,5.57,8.46,18.41,29.44,34.66,39,42.25,43.62,50.28,54.89
apparentTemperatureMinTime,1579665600,1579719600,1579823400,1579975200,1580012760,1580082060,1580179620,1580266020,1580349960,1580424240,1580522520,1580608860,1580721480,1580786400,1580867700,1580947500,1581040500,1581127140,1581271200,1581357600,1581388020,1581530400,1581541200,1581628680,1581751740,1581810420,1581907380,1582048800,1582069680,1582164300,1582230600,1582339620,1582415700,1582502280,1582588260,1582740000,1582826400,1582855080,1582934820,1583016600,1583113200,1583202540,1583287200,1583373360,1583517600,1583548140,1583632740,1583718900,1583797800,1583880660,1583970780,1584056220,1584149340,1584230280,1584321120
cloudCover,0.45,0.12,0.72,0.93,0.38,0.65,0,0.01,0.46,0.77,0.7,0.99,1,0.37,0.82,0.39,0.31,0.07,0.64,0.69,0.71,0.88,0.28,0.84,0.99,0.55,0.73,0.5,0.04,0.31,0.99,0.66,0.92,0.75,0.52,0.99,0.77,0,0.35,0.48,0.34,0.9,0.38,0.49,0.8,0.05,0.01,0,0,0,0,0.69,0.17,0.76,0.87
dewPoint,15.9,22.05,35.6,27.5,17.09,20.02,13.99,17.22,21.39,24.43,27.59,28.8,34.54,31.35,31.57,28.1,31.28,25.8,35.21,30.14,14.72,27.62,20.92,26.16,30,22.71,23.18,16.97,14.14,18.76,30.68,34.28,32.16,33.76,39.98,41.5,24.95,22.25,31.81,40.23,40.78,26.56,24.54,25.01,23.75,11.14,8.43,17.68,26.02,21.73,18.98,21.49,33.37,28.54,35.37
humidity,0.63,0.64,0.79,0.8,0.62,0.66,0.56,0.55,0.61,0.6,0.56,0.49,0.82,0.7,0.59,0.65,0.58,0.34,0.54,0.7,0.49,0.79,0.63,0.57,0.73,0.62,0.6,0.58,0.54,0.49,0.63,0.74,0.68,0.63,0.58,0.72,0.59,0.53,0.63,0.66,0.6,0.51,0.5,0.52,0.5,0.44,0.37,0.44,0.5,0.39,0.32,0.29,0.42,0.32,0.34
icon,partly-cloudy-day,clear-day,rain,snow,partly-cloudy-day,snow,clear-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,wind,rain,rain,partly-cloudy-day,rain,clear-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,rain,rain,cloudy,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day
moonPhase,0.93,0.96,0.99,0.02,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.44,0.48,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77,0.81,0.84,0.87,0.91,0.94,0.97,0,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.28,0.31,0.35,0.38,0.42,0.46,0.5,0.54,0.58,0.61,0.65,0.69,0.72,0.76
ozone,376.3,352,361.7,373.6,346.4,326.2,337.6,347,368.4,403.4,366.6,377.1,351.5,314.1,331.8,362.6,323.2,309.9,345.8,355.3,343.3,370.1,369.9,350.4,384.1,407.7,408.7,398.5,348.4,331.2,314.8,327,340,352.8,333.9,310.6,350.7,326.4,312.1,312.9,329.4,337,378.7,364.9,372.4,411.3,343,319.9,317.9,326.2,342.8,362,338.2,332,356
precipAccumulation,0.02,0.01,,0.76,0.04,0.21,,0.03,0,,,,,,,,,,,,0.02,,0.03,,,0,,0.03,0.02,,,,,,,,,,,,,,,,,,0.02,0,,,,,,,
precipIntensity,0.0001,0.0003,0.0143,0.0052,0.0002,0.0019,0,0.0002,0.0001,0.0001,0.0001,0.0008,0.0106,0.0003,0.0002,0.0001,0.0001,0,0.0021,0.0022,0.0003,0.0101,0.0002,0.0001,0.0035,0.0001,0.0001,0.0002,0.0001,0.0001,0.0016,0.0011,0.0001,0.0001,0.0001,0.0237,0,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0.0002,0,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0
precipIntensityMax,0.001,0.0112,0.0473,0.0159,0.0005,0.0134,0,0.0003,0.0003,0.0002,0.0003,0.0098,0.0242,0.001,0.0009,0.0003,0.0003,0.0003,0.0183,0.0104,0.0012,0.047,0.0005,0.0005,0.0077,0.0003,0.0003,0.0004,0.0004,0.0004,0.008,0.0073,0.0003,0.0003,0.0003,0.0855,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0003,0.0006,0.0003,0.0005,0.0003,0.0004,0.0004,0.0004,0.0004,0.0002,0.0004,0.0001
precipIntensityMaxTime,1579683660,1579802400,1579829940,1579924800,1579986300,1580105100,1580151600,1580287200,1580365500,1580418000,1580505900,1580665980,1580722860,1580771340,1580914980,1580947200,1581056400,1581152400,1581228060,1581315540,1581433560,1581484140,1581543120,1581703200,1581747000,1581843600,1581935400,1582005960,1582053900,1582194900,1582278060,1582316580,1582412880,1582567200,1582605300,1582708620,1582772400,1582872720,1582977840,1583011620,1583138160,1583183280,1583312400,1583431080,1583474580,1583593200,1583629740,1583765220,1583787600,1583924700,1583992020,1584043800,1584126000,1584218820,1584342000
precipProbability,0.03,0.09,0.84,0.73,0.06,0.43,0,0.05,0.04,0.05,0.04,0.13,0.91,0.17,0.05,0.02,0.03,0.01,0.26,0.53,0.06,0.88,0.12,0.07,0.72,0.09,0.06,0.14,0.03,0.02,0.32,0.37,0.05,0.04,0.06,0.9,0.03,0.03,0.01,0.03,0.03,0.05,0.01,0.01,0.04,0.01,0.05,0.04,0.01,0.01,0.03,0.01,0.01,0.03,0.01
precipType,snow,snow,rain,snow,snow,snow,,snow,snow,rain,rain,rain,rain,rain,rain,rain,rain,,rain,rain,snow,rain,snow,rain,rain,snow,rain,snow,snow,rain,rain,rain,rain,rain,rain,rain,,rain,,rain,rain,rain,,rain,rain,,snow,snow,rain,rain,rain,rain,rain,rain,
pressure,1029,1020.3,1012.2,1024.8,1025.9,1024.4,1030,1028,1023,1017.6,1013.5,1010.6,1017.8,1017.7,1012.7,1024.1,1016.6,1008.8,1006.4,1017.2,1020.2,1014.7,1026.9,1023,1025.2,1036.6,1034.2,1037.5,1036.9,1022.6,1013.4,1024.8,1023.8,1020.2,1013.3,1011.9,1027.6,1025.8,1017.9,1013.6,1015.9,1018.9,1018.8,1020.4,1024.9,1031.8,1032.5,1028.4,1026.3,1024.4,1022,1020.6,1018.8,1013,1013.4
