,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
Lat,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238,6.4238
Long,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897,-66.5897
time,1579665600,1579752000,1579838400,1579924800,1580011200,1580097600,1580184000,1580270400,1580356800,1580443200,1580529600,1580616000,1580702400,1580788800,1580875200,1580961600,1581048000,1581134400,1581220800,1581307200,1581393600,1581480000,1581566400,1581652800,1581739200,1581825600,1581912000,1581998400,1582084800,1582171200,1582257600,1582344000,1582430400,1582516800,1582603200,1582689600,1582776000,1582862400,1582948800,1583035200,1583121600,1583208000,1583294400,1583380800,1583467200,1583553600,1583640000,1583726400,1583812800,1583899200,1583985600,1584072000,1584158400,1584244800,1584331200
summary,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Humid and mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Possible drizzle in the morning.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Possible light rain in the afternoon.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Possible light rain in the evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain until evening.,Possible light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Partly cloudy throughout the day.
icon,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,rain,clear-day,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,clear-day,rain,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,partly-cloudy-day
sunriseTime,1579689900,1579776300,1579862700,1579949100,1580035500,1580121900,1580208300,1580294700,1580381160,1580467560,1580553960,1580640360,1580726760,1580813160,1580899560,1580985900,1581072300,1581158700,1581245100,1581331500,1581417900,1581504300,1581590700,1581677040,1581763440,1581849840,1581936240,1582022640,1582108980,1582195380,1582281780,1582368180,1582454520,1582540920,1582627320,1582713660,1582800060,1582886460,1582972800,1583059200,1583145600,1583231940,1583318340,1583404680,1583491080,1583577420,1583663820,1583750220,1583836560,1583922960,1584009300,1584095700,1584182040,1584268440,1584354780
sunsetTime,1579732380,1579818840,1579905240,1579991640,1580078100,1580164500,1580250900,1580337360,1580423760,1580510160,1580596620,1580683020,1580769420,1580855820,1580942280,1581028680,1581115080,1581201480,1581287940,1581374340,1581460740,1581547140,1581633540,1581719940,1581806400,1581892800,1581979200,1582065600,1582152000,1582238400,1582324800,1582411200,1582497600,1582584000,1582670400,1582756800,1582843200,1582929600,1583016000,1583102400,1583188800,1583275200,1583361600,1583448000,1583534400,1583620800,1583707200,1583793600,1583879940,1583966340,1584052740,1584139140,1584225540,1584311940,1584398340
moonPhase,0.94,0.97,0,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.85,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.32,0.36,0.4,0.43,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
