,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam
Lat,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Long,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,75.68,77.15,77.24,77.21,67.22,67.36,63.44,60.79,61.8,63.56,64.35,70.91,72.23,73.38,72.48,76,75.21,72.17,66.47,64.73,71.78,77.64,83.99,85.09,88.95,79.1,62.32,58.42,66.56,66.01,67.31,65.92,67.93,73.83,75.55,76.57,74.87,77.36,79.09,82.44,78.46,77.26,74.32,71.03,77.7,85.22,89.11,93.21,89.66,74.99,86.95,89.23,78.8,78.44,79.66
apparentTemperatureHighTime,1579672260,1579755780,1579842720,1579929120,1580010420,1580101440,1580192100,1580271180,1580363700,1580453700,1580536440,1580619540,1580706360,1580792280,1580878920,1580971620,1581051660,1581144420,1581224100,1581317940,1581407220,1581484020,1581569580,1581655440,1581742980,1581822900,1581915300,1582012620,1582098300,1582174680,1582260960,1582343880,1582433940,1582520160,1582606800,1582692840,1582779780,1582865580,1582952400,1583039280,1583125680,1583211000,1583298120,1583394420,1583480640,1583557260,1583643360,1583730240,1583812920,1583913540,1583989200,1584074760,1584170280,1584248100,1584334560
apparentTemperatureLow,58.58,62.65,61.27,61.19,56.66,57.56,56.78,54.88,48.56,55.73,54.82,55.53,57.66,57.68,54.23,54.99,59.03,58.25,57.97,60.17,61.01,62.82,63.82,62.24,62.83,57.77,52.71,56.17,55.19,57.03,56.37,56.9,51.39,51.99,59.38,60.73,58.21,61.02,62.89,64.41,63.73,62.37,63.41,61.8,63.55,64.98,65.74,67.09,65.82,63.32,66.63,64.84,63.72,64.73,63.54
apparentTemperatureLowTime,1579733940,1579785180,1579909620,1579995720,1580073120,1580159460,1580245680,1580339460,1580424780,1580489160,1580597580,1580656800,1580743320,1580857920,1580935260,1581021060,1581087420,1581196200,1581281820,1581374460,1581461460,1581548280,1581634440,1581720780,1581798900,1581901200,1581987600,1582027200,1582127640,1582232220,1582318380,1582404960,1582491840,1582575240,1582664160,1582751160,1582837500,1582921680,1583008680,1583064540,1583179560,1583268300,1583362740,1583440560,1583523120,1583611620,1583706780,1583784960,1583870700,1583956080,1584028560,1584132420,1584216120,1584302160,1584394740
apparentTemperatureMax,75.68,77.15,77.24,77.21,67.22,67.36,63.44,60.79,61.8,63.56,64.35,70.91,72.23,73.38,72.48,76,75.21,72.17,66.47,64.73,71.78,77.64,83.99,85.09,88.95,79.1,62.32,58.42,66.56,66.01,67.31,65.92,67.93,73.83,75.55,76.57,74.87,77.36,79.09,82.44,78.46,77.26,74.32,71.03,77.7,85.22,89.11,93.21,89.66,74.99,86.95,89.23,78.8,78.44,79.66
apparentTemperatureMaxTime,1579672260,1579755780,1579842720,1579929120,1580010420,1580101440,1580192100,1580271180,1580363700,1580453700,1580536440,1580619540,1580706360,1580792280,1580878920,1580971620,1581051660,1581144420,1581224100,1581317940,1581407220,1581484020,1581569580,1581655440,1581742980,1581822900,1581915300,1582012620,1582098300,1582174680,1582260960,1582343880,1582433940,1582520160,1582606800,1582692840,1582779780,1582865580,1582952400,1583039280,1583125680,1583211000,1583298120,1583394420,1583480640,1583557260,1583643360,1583730240,1583812920,1583913540,1583989200,1584074760,1584170280,1584248100,1584334560
