,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia,Zambia
Lat,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167,-15.4167
Long,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833,28.2833
time,1579644000,1579730400,1579816800,1579903200,1579989600,1580076000,1580162400,1580248800,1580335200,1580421600,1580508000,1580594400,1580680800,1580767200,1580853600,1580940000,1581026400,1581112800,1581199200,1581285600,1581372000,1581458400,1581544800,1581631200,1581717600,1581804000,1581890400,1581976800,1582063200,1582149600,1582236000,1582322400,1582408800,1582495200,1582581600,1582668000,1582754400,1582840800,1582927200,1583013600,1583100000,1583186400,1583272800,1583359200,1583445600,1583532000,1583618400,1583704800,1583791200,1583877600,1583964000,1584050400,1584136800,1584223200,1584309600
summary,Humid and overcast throughout the day.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Clear throughout the day.,Clear throughout the day.,Clear throughout the day.,Possible light rain in the morning.,Overcast throughout the day.,Possible light rain until evening.,Light rain in the morning and afternoon.,Possible drizzle in the evening.,Partly cloudy throughout the day.,Partly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Rain starting in the afternoon.,Light rain starting in the afternoon.,Light rain throughout the day.,Light rain throughout the day.,Rain and humid throughout the day.,Possible light rain and humid throughout the day.,Possible light rain until evening.,Possible light rain in the afternoon and evening.,"Possible light rain until afternoon, starting again overnight.",Possible light rain and humid throughout the day.,Possible light rain and humid throughout the day.,Possible light rain in the morning and afternoon.,Rain in the afternoon and evening.,Humid and partly cloudy throughout the day.,Humid throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Humid and partly cloudy throughout the day.,Rain starting in the afternoon.,Light rain until evening.,Possible light rain in the morning and afternoon.,Mostly cloudy throughout the day.,Mostly cloudy throughout the day.,Possible light rain starting in the afternoon.,Possible light rain in the afternoon.,Overcast throughout the day.,Mostly cloudy throughout the day.,Light rain starting in the afternoon.,Possible light rain until evening.,Possible drizzle in the afternoon and evening.,Clear throughout the day.,Partly cloudy throughout the day.,Clear throughout the day.,Partly cloudy throughout the day.,Mostly cloudy throughout the day.,Overcast throughout the day.,Overcast throughout the day.,Possible light rain in the afternoon and evening.,Mostly cloudy throughout the day.,Possible light rain in the afternoon and evening.,Light rain in the morning and afternoon.
icon,rain,partly-cloudy-day,partly-cloudy-day,clear-day,clear-day,clear-day,rain,rain,rain,rain,rain,partly-cloudy-day,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,rain,rain,clear-day,clear-day,clear-day,clear-day,rain,partly-cloudy-day,cloudy,rain,rain,rain,rain
sunriseTime,1579665180,1579751640,1579838040,1579924500,1580010900,1580097360,1580183760,1580270220,1580356620,1580443080,1580529480,1580615940,1580702340,1580788800,1580875200,1580961660,1581048060,1581134520,1581220920,1581307380,1581393780,1581480180,1581566640,1581653040,1581739500,1581825900,1581912300,1581998760,1582085160,1582171560,1582258020,1582344420,1582430820,1582517220,1582603680,1582690080,1582776480,1582862880,1582949340,1583035740,1583122140,1583208540,1583295000,1583381400,1583467800,1583554200,1583640600,1583727060,1583813460,1583899860,1583986260,1584072660,1584159060,1584245460,1584331920
sunsetTime,1579711560,1579797960,1579884360,1579970760,1580057160,1580143560,1580229900,1580316300,1580402700,1580489100,1580575500,1580661900,1580748240,1580834640,1580921040,1581007440,1581093780,1581180180,1581266580,1581352920,1581439320,1581525720,1581612060,1581698460,1581784800,1581871200,1581957540,1582043940,1582130280,1582216680,1582303020,1582389420,1582475760,1582562160,1582648500,1582734900,1582821240,1582907580,1582993980,1583080320,1583166720,1583253060,1583339400,1583425800,1583512140,1583598480,1583684880,1583771220,1583857560,1583943900,1584030300,1584116640,1584202980,1584289320,1584375720
moonPhase,0.93,0.96,1,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.63,0.67,0.71,0.74,0.78,0.81,0.85,0.88,0.91,0.94,0.97,0,0.03,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.32,0.35,0.39,0.42,0.46,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.76
precipIntensity,0.0045,0.0012,0.0016,0.0001,0.0001,0.0005,0.0136,0.0017,0.0071,0.0116,0.0028,0.0003,0.0016,0.0069,0.0224,0.0143,0.0339,0.0241,0.0255,0.0327,0.0107,0.0087,0.007,0.009,0.0108,0.0185,0.0233,0.0065,0.0046,0.0085,0.0085,0.0058,0.0352,0.034,0.0053,0.0002,0.0004,0.025,0.0103,0.002,0.0003,0.0145,0.0137,0.0031,0.0004,0.0004,0.0002,0.0018,0.0047,0.0004,0.0004,0.0067,0.0013,0.0145,0.0165
precipIntensityMax,0.0125,0.0059,0.0111,0.0004,0.0004,0.0038,0.0421,0.013,0.0168,0.0296,0.0141,0.001,0.0064,0.0214,0.1311,0.0604,0.0859,0.0746,0.2113,0.2226,0.0229,0.0325,0.0364,0.0247,0.0628,0.0694,0.0987,0.0193,0.0153,0.0325,0.0292,0.0267,0.1167,0.0835,0.0201,0.0006,0.0023,0.0924,0.0224,0.0115,0.0007,0.0676,0.0616,0.0113,0.002,0.0016,0.0008,0.0068,0.0156,0.0041,0.0018,0.0252,0.0046,0.0886,0.0538
precipIntensityMaxTime,1579711740,1579784280,1579871220,1579955760,1580032800,1580126520,1580191620,1580299320,1580389500,1580447040,1580569380,1580665140,1580741340,1580817600,1580914740,1580994360,1581082860,1581184560,1581282000,1581285600,1581411540,1581530460,1581574620,1581702660,1581772020,1581853860,1581940680,1582038300,1582081140,1582157040,1582285020,1582405200,1582481820,1582544820,1582632120,1582738740,1582816080,1582910520,1582976880,1583067840,1583162520,1583269200,1583272800,1583409780,1583506860,1583593380,1583685120,1583765400,1583842380,1583877600,1584025140,1584102060,1584209100,1584274080,1584359100
precipProbability,0.5,0.14,0.14,0.07,0.08,0.1,0.63,0.28,0.77,0.79,0.42,0.2,0.33,0.58,0.77,0.81,0.95,0.93,0.92,0.92,0.81,0.72,0.75,0.78,0.77,0.78,0.66,0.58,0.48,0.57,0.4,0.38,0.75,0.91,0.63,0.13,0.13,0.66,0.65,0.27,0.14,0.65,0.86,0.45,0.19,0.14,0.15,0.24,0.3,0.14,0.13,0.62,0.27,0.68,0.85
precipType,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain,rain
temperatureHigh,79.89,83.68,82.61,83.48,85.33,87.47,80.88,81.32,76.66,70.2,77.88,80.96,81.42,81.15,80.47,79.69,76.79,78.7,76.31,79.75,80.1,77.94,75.92,75.03,78.4,80.49,77.67,80.98,79.66,79.6,81.44,83.38,83.9,73.92,72.62,77.77,81.37,84.65,79.84,79.71,77.17,77.66,70.84,72.62,77.07,76.67,78.53,80.1,81.19,81.42,81.52,79.09,82.36,79.82,76.54
temperatureHighTime,1579698180,1579777500,1579867380,1579950180,1580041680,1580122620,1580212740,1580296800,1580383020,1580476740,1580555340,1580645520,1580728080,1580821140,1580899080,1580986920,1581080880,1581168300,1581250980,1581340260,1581429180,1581507960,1581598920,1581678240,1581772200,1581847320,1581944520,1582023660,1582114920,1582196460,1582278960,1582366560,1582451940,1582541820,1582635360,1582720440,1582805880,1582890180,1582982400,1583060400,1583155440,1583235840,1583329860,1583406660,1583492460,1583588280,1583665500,1583751600,1583838240,1583924940,1584013200,1584097320,1584184620,1584265320,1584355140
temperatureLow,62.51,62.74,60.96,59.56,61.16,64.42,62.37,62.78,62.54,60.66,61.01,60.21,63.77,63.93,62.33,64.39,63.88,64.32,64.07,64.02,63.09,64.01,63.46,64.47,64.27,65.34,63.44,63.77,62.77,63.4,64.65,66.64,65.87,64.26,61.78,60.23,61.23,63.63,62.26,60.84,59.86,61.92,60.43,57.39,60.35,61.41,60.77,61.19,62.02,62.48,64.59,62.32,63.16,63.41,64.27
temperatureLowTime,1579745580,1579831320,1579917120,1580003940,1580090280,1580183580,1580263140,1580349660,1580436120,1580521980,1580608020,1580695380,1580781420,1580868480,1580955300,1581037500,1581127200,1581206100,1581300060,1581386700,1581472740,1581558600,1581631500,1581731760,1581819420,1581903480,1581990780,1582077240,1582163640,1582250220,1582336680,1582423620,1582516920,1582602300,1582682580,1582768740,1582855140,1582941360,1583028000,1583114400,1583200560,1583284260,1583372940,1583460000,1583546460,1583632020,1583719080,1583805420,1583892120,1583978340,1584064380,1584153120,1584237720,1584323640,1584417300
